ID,town
525,臺南市南化區
526,臺南市左鎮區
528,臺南市歸仁區
529,臺南市關廟區
530,臺南市龍崎區
701,高雄市鳳山區
702,高雄市岡山區
703,高雄市旗山區
704,高雄市美濃區
705,高雄市林園區
706,高雄市大寮區
707,高雄市大樹區
708,高雄市仁武區
709,高雄市大社區
710,高雄市鳥松區
711,高雄市橋頭區
712,高雄市燕巢區
713,高雄市田寮區
714,高雄市阿蓮區
715,高雄市路竹區
716,高雄市湖內區
717,高雄市茄萣區
718,高雄市永安區
719,高雄市彌陀區
720,高雄市梓官區
721,高雄市六龜區
722,高雄市甲仙區
723,高雄市杉林區
724,高雄市內門區
729,高雄市鼓山區
730,高雄市左營區
731,高雄市楠梓區
732,高雄市三民區
734,高雄市前金區
735,高雄市苓雅區
736,高雄市前鎮區
737,高雄市旗津區
738,高雄市小港區
4301,屏東縣屏東市
4302,屏東縣潮州鎮
4303,屏東縣東港鎮
4305,屏東縣萬丹鄉
4306,屏東縣長治鄉
4307,屏東縣麟洛鄉
4308,屏東縣九如鄉
4309,屏東縣里港鄉
4310,屏東縣鹽埔鄉
4311,屏東縣高樹鄉
4312,屏東縣萬巒鄉
4313,屏東縣內埔鄉
4314,屏東縣竹田鄉
4315,屏東縣新埤鄉
4316,屏東縣枋寮鄉
4317,屏東縣新園鄉
4318,屏東縣崁頂鄉
4319,屏東縣林邊鄉
4320,屏東縣南州鄉
4321,屏東縣佳冬鄉
4322,屏東縣琉球鄉
4325,屏東縣枋山鄉
4326,屏東縣三地門鄉
4328,屏東縣瑪家鄉
4330,屏東縣來義鄉
4331,屏東縣春日鄉
4332,屏東縣獅子鄉
4605,臺東縣大武鄉
4614,臺東縣達仁鄉
