town,year,week,value
彰化縣社頭鄉,2015,1,20.5
彰化縣福興鄉,2015,1,18.62
彰化縣秀水鄉,2015,1,21.5
彰化縣竹塘鄉,2015,1,16.0
彰化縣線西鄉,2015,1,18.0
彰化縣芬園鄉,2015,1,22.6
彰化縣花壇鄉,2015,1,22.0
彰化縣芳苑鄉,2015,1,15.92
彰化縣鹿港鎮,2015,1,18.67
新北市三峽區,2015,1,23.0
新北市三芝區,2015,1,9.2
新北市三重區,2015,1,39.0
新北市中和區,2015,1,23.5
新北市五股區,2015,1,25.67
新北市八里區,2015,1,18.25
新北市土城區,2015,1,23.0
新北市坪林區,2015,1,19.6
新北市平溪區,2015,1,18.5
新北市新店區,2015,1,21.5
新北市新莊區,2015,1,24.67
新北市板橋區,2015,1,25.5
新北市林口區,2015,1,18.67
新北市樹林區,2015,1,23.67
新北市永和區,2015,1,23.0
新北市汐止區,2015,1,20.43
新北市淡水區,2015,1,13.33
新北市深坑區,2015,1,23.0
新北市烏來區,2015,1,21.33
新北市瑞芳區,2015,1,15.5
新北市石碇區,2015,1,21.77
新北市石門區,2015,1,14.4
新北市萬里區,2015,1,10.67
新北市蘆洲區,2015,1,28.0
新北市貢寮區,2015,1,17.8
新北市金山區,2015,1,13.25
新北市雙溪區,2015,1,18.0
新北市鶯歌區,2015,1,22.5
新竹市北區,2015,1,21.0
新竹市東區,2015,1,21.0
新竹市香山區,2015,1,20.0
新竹縣五峰鄉,2015,1,18.25
新竹縣北埔鄉,2015,1,17.5
新竹縣寶山鄉,2015,1,19.0
新竹縣尖石鄉,2015,1,19.4
新竹縣峨眉鄉,2015,1,18.0
新竹縣新埔鎮,2015,1,18.17
新竹縣新豐鄉,2015,1,17.4
新竹縣橫山鄉,2015,1,17.83
新竹縣湖口鄉,2015,1,17.25
新竹縣竹北市,2015,1,19.6
新竹縣竹東鎮,2015,1,17.67
新竹縣芎林鄉,2015,1,17.5
新竹縣關西鎮,2015,1,18.85
桃園市中壢區,2015,1,24.83
桃園市八德區,2015,1,23.5
桃園市大園區,2015,1,21.75
桃園市大溪區,2015,1,21.36
桃園市平鎮區,2015,1,24.0
桃園市復興區,2015,1,21.71
桃園市新屋區,2015,1,18.43
桃園市桃園區,2015,1,22.25
桃園市楊梅區,2015,1,19.89
桃園市蘆竹區,2015,1,21.0
桃園市觀音區,2015,1,19.2
桃園市龍潭區,2015,1,18.12
桃園市龜山區,2015,1,21.2
臺中市北屯區,2015,1,19.67
臺中市南屯區,2015,1,25.33
臺中市后里區,2015,1,14.33
臺中市外埔區,2015,1,15.2
臺中市大安區,2015,1,18.0
臺中市大甲區,2015,1,16.4
臺中市大肚區,2015,1,21.5
臺中市大里區,2015,1,26.8
臺中市大雅區,2015,1,21.75
臺中市太平區,2015,1,23.62
臺中市新社區,2015,1,17.4
臺中市東勢區,2015,1,16.14
臺中市東區,2015,1,26.0
臺中市梧棲區,2015,1,19.0
臺中市沙鹿區,2015,1,19.0
