town,year,week,value
南投縣中寮鄉,2015,1,6.08
南投縣仁愛鄉,2015,1,3.33
南投縣信義鄉,2015,1,4.5
南投縣南投市,2015,1,6.14
南投縣名間鄉,2015,1,5.5
南投縣國姓鄉,2015,1,5.5
南投縣埔里鎮,2015,1,3.14
南投縣水里鄉,2015,1,4.67
南投縣竹山鎮,2015,1,2.79
南投縣草屯鎮,2015,1,7.38
南投縣集集鎮,2015,1,5.0
南投縣魚池鄉,2015,1,4.0
南投縣鹿谷鄉,2015,1,3.6
嘉義市東區,2015,1,5.0
嘉義市西區,2015,1,5.0
嘉義縣中埔鄉,2015,1,5.0
嘉義縣六腳鄉,2015,1,3.83
嘉義縣大埔鄉,2015,1,4.0
嘉義縣大林鎮,2015,1,4.17
嘉義縣太保市,2015,1,4.43
嘉義縣布袋鎮,2015,1,3.67
嘉義縣新港鄉,2015,1,5.0
嘉義縣朴子市,2015,1,3.0
嘉義縣東石鄉,2015,1,3.0
嘉義縣梅山鄉,2015,1,4.0
嘉義縣民雄鄉,2015,1,5.0
嘉義縣水上鄉,2015,1,4.8
嘉義縣溪口鄉,2015,1,5.0
嘉義縣番路鄉,2015,1,4.62
嘉義縣竹崎鄉,2015,1,4.75
嘉義縣義竹鄉,2015,1,4.0
嘉義縣鹿草鄉,2015,1,3.67
基隆市七堵區,2015,1,15.33
基隆市仁愛區,2015,1,12.0
基隆市信義區,2015,1,12.0
基隆市安樂區,2015,1,7.0
基隆市暖暖區,2015,1,13.0
宜蘭縣三星鄉,2015,1,5.89
宜蘭縣五結鄉,2015,1,4.25
宜蘭縣冬山鄉,2015,1,5.0
宜蘭縣南澳鄉,2015,1,7.65
宜蘭縣員山鄉,2015,1,6.4
宜蘭縣壯圍鄉,2015,1,3.33
宜蘭縣大同鄉,2015,1,10.31
宜蘭縣宜蘭市,2015,1,2.0
宜蘭縣礁溪鄉,2015,1,5.0
宜蘭縣蘇澳鎮,2015,1,5.8
宜蘭縣頭城鎮,2015,1,13.43
屏東縣三地門鄉,2015,1,3.0
屏東縣九如鄉,2015,1,3.25
屏東縣佳冬鄉,2015,1,3.0
屏東縣來義鄉,2015,1,2.75
屏東縣內埔鄉,2015,1,3.0
屏東縣南州鄉,2015,1,3.0
屏東縣屏東市,2015,1,3.14
屏東縣崁頂鄉,2015,1,3.33
屏東縣恆春鎮,2015,1,1.0
屏東縣新園鄉,2015,1,4.0
屏東縣新埤鄉,2015,1,2.0
屏東縣春日鄉,2015,1,3.0
屏東縣東港鎮,2015,1,3.0
屏東縣枋寮鄉,2015,1,2.8
屏東縣枋山鄉,2015,1,3.0
屏東縣林邊鄉,2015,1,3.0
屏東縣泰武鄉,2015,1,2.8
屏東縣滿州鄉,2015,1,1.2
屏東縣潮州鎮,2015,1,2.0
屏東縣牡丹鄉,2015,1,2.19
屏東縣獅子鄉,2015,1,2.91
屏東縣琉球鄉,2015,1,4.0
屏東縣瑪家鄉,2015,1,3.0
屏東縣竹田鄉,2015,1,2.67
屏東縣萬丹鄉,2015,1,4.33
屏東縣萬巒鄉,2015,1,2.33
屏東縣車城鄉,2015,1,1.33
屏東縣里港鄉,2015,1,3.0
屏東縣長治鄉,2015,1,3.0
屏東縣霧臺鄉,2015,1,3.0
屏東縣高樹鄉,2015,1,2.71
屏東縣鹽埔鄉,2015,1,3.0
屏東縣麟洛鄉,2015,1,3.0
彰化縣二林鎮,2015,1,4.0
彰化縣二水鄉,2015,1,3.75
彰化縣伸港鄉,2015,1,5.25
彰化縣北斗鎮,2015,1,5.0
彰化縣和美鎮,2015,1,5.75
彰化縣員林市,2015,1,6.5
彰化縣埔心鄉,2015,1,6.0
彰化縣埔鹽鄉,2015,1,4.75
彰化縣埤頭鄉,2015,1,4.0
彰化縣大城鄉,2015,1,3.56
彰化縣大村鄉,2015,1,6.25
彰化縣彰化市,2015,1,7.25
彰化縣永靖鄉,2015,1,5.5
彰化縣溪州鄉,2015,1,4.29
彰化縣溪湖鎮,2015,1,4.75
彰化縣田中鎮,2015,1,5.0
彰化縣田尾鄉,2015,1,5.0
彰化縣社頭鄉,2015,1,6.0
彰化縣福興鄉,2015,1,5.0
彰化縣秀水鄉,2015,1,5.0
彰化縣竹塘鄉,2015,1,4.0
彰化縣線西鄉,2015,1,5.0
彰化縣芬園鄉,2015,1,8.0
彰化縣花壇鄉,2015,1,5.25
彰化縣芳苑鄉,2015,1,4.15
彰化縣鹿港鎮,2015,1,5.0
新北市三峽區,2015,1,18.36
新北市三芝區,2015,1,6.8
新北市三重區,2015,1,80.0
新北市中和區,2015,1,19.0
新北市五股區,2015,1,28.0
新北市八里區,2015,1,13.25
新北市土城區,2015,1,19.0
新北市坪林區,2015,1,16.6
新北市平溪區,2015,1,16.38
新北市新店區,2015,1,15.9
新北市新莊區,2015,1,20.67
新北市板橋區,2015,1,22.5
新北市林口區,2015,1,10.67
新北市樹林區,2015,1,19.0
新北市永和區,2015,1,15.0
新北市汐止區,2015,1,20.14
新北市淡水區,2015,1,8.5
新北市深坑區,2015,1,20.5
新北市烏來區,2015,1,17.11
新北市瑞芳區,2015,1,12.67
新北市石碇區,2015,1,19.31
新北市石門區,2015,1,12.4
新北市萬里區,2015,1,7.0
新北市蘆洲區,2015,1,37.0
新北市貢寮區,2015,1,15.3
新北市金山區,2015,1,11.25
新北市雙溪區,2015,1,15.23
新北市鶯歌區,2015,1,14.0
新竹市北區,2015,1,8.0
新竹市東區,2015,1,8.0
新竹市香山區,2015,1,7.6
新竹縣五峰鄉,2015,1,6.75
新竹縣北埔鄉,2015,1,4.75
新竹縣寶山鄉,2015,1,6.5
新竹縣尖石鄉,2015,1,9.6
新竹縣峨眉鄉,2015,1,5.8
新竹縣新埔鎮,2015,1,7.5
新竹縣新豐鄉,2015,1,7.0
新竹縣橫山鄉,2015,1,5.5
新竹縣湖口鄉,2015,1,6.75
新竹縣竹北市,2015,1,7.6
新竹縣竹東鎮,2015,1,4.83
新竹縣芎林鄉,2015,1,4.5
新竹縣關西鎮,2015,1,8.23
桃園市中壢區,2015,1,16.5
桃園市八德區,2015,1,14.0
桃園市大園區,2015,1,9.12
桃園市大溪區,2015,1,12.91
桃園市平鎮區,2015,1,15.8
桃園市復興區,2015,1,14.86
桃園市新屋區,2015,1,7.14
桃園市桃園區,2015,1,10.5
桃園市楊梅區,2015,1,9.33
