town,year,week,value
南投縣中寮鄉,2015,1,23.42
南投縣仁愛鄉,2015,1,28.0
南投縣信義鄉,2015,1,26.5
南投縣南投市,2015,1,22.0
南投縣名間鄉,2015,1,23.5
南投縣國姓鄉,2015,1,26.5
南投縣埔里鎮,2015,1,27.93
南投縣水里鄉,2015,1,26.17
南投縣竹山鎮,2015,1,26.93
南投縣草屯鎮,2015,1,23.0
南投縣集集鎮,2015,1,25.0
南投縣魚池鄉,2015,1,27.14
南投縣鹿谷鄉,2015,1,26.4
嘉義市東區,2015,1,24.0
嘉義市西區,2015,1,24.0
嘉義縣中埔鄉,2015,1,25.4
嘉義縣六腳鄉,2015,1,29.5
嘉義縣大埔鄉,2015,1,27.33
嘉義縣大林鎮,2015,1,26.67
嘉義縣太保市,2015,1,27.43
嘉義縣布袋鎮,2015,1,29.33
嘉義縣新港鄉,2015,1,27.17
嘉義縣朴子市,2015,1,30.75
嘉義縣東石鄉,2015,1,30.0
嘉義縣梅山鄉,2015,1,26.33
嘉義縣民雄鄉,2015,1,26.0
嘉義縣水上鄉,2015,1,25.0
嘉義縣溪口鄉,2015,1,27.25
嘉義縣番路鄉,2015,1,25.88
嘉義縣竹崎鄉,2015,1,25.62
嘉義縣義竹鄉,2015,1,28.33
嘉義縣鹿草鄉,2015,1,28.67
基隆市七堵區,2015,1,28.17
基隆市仁愛區,2015,1,28.0
基隆市信義區,2015,1,28.0
基隆市安樂區,2015,1,33.5
基隆市暖暖區,2015,1,28.0
宜蘭縣三星鄉,2015,1,31.22
宜蘭縣五結鄉,2015,1,31.0
宜蘭縣冬山鄉,2015,1,30.25
宜蘭縣南澳鄉,2015,1,29.43
宜蘭縣員山鄉,2015,1,31.5
宜蘭縣壯圍鄉,2015,1,33.0
宜蘭縣大同鄉,2015,1,29.08
宜蘭縣宜蘭市,2015,1,33.5
宜蘭縣礁溪鄉,2015,1,32.12
宜蘭縣蘇澳鎮,2015,1,29.9
宜蘭縣頭城鎮,2015,1,28.57
屏東縣三地門鄉,2015,1,31.31
屏東縣九如鄉,2015,1,30.75
屏東縣佳冬鄉,2015,1,33.0
屏東縣來義鄉,2015,1,32.88
屏東縣內埔鄉,2015,1,31.12
屏東縣南州鄉,2015,1,33.0
屏東縣屏東市,2015,1,31.14
屏東縣崁頂鄉,2015,1,31.67
屏東縣恆春鎮,2015,1,43.75
屏東縣新園鄉,2015,1,30.0
屏東縣新埤鄉,2015,1,34.57
屏東縣春日鄉,2015,1,32.09
屏東縣東港鎮,2015,1,33.67
屏東縣枋寮鄉,2015,1,32.6
屏東縣枋山鄉,2015,1,32.75
屏東縣林邊鄉,2015,1,32.5
屏東縣泰武鄉,2015,1,32.6
屏東縣滿州鄉,2015,1,42.87
屏東縣潮州鎮,2015,1,35.0
屏東縣牡丹鄉,2015,1,39.06
屏東縣獅子鄉,2015,1,34.26
屏東縣琉球鄉,2015,1,30.0
屏東縣瑪家鄉,2015,1,31.0
屏東縣竹田鄉,2015,1,31.33
屏東縣萬丹鄉,2015,1,26.0
屏東縣萬巒鄉,2015,1,33.33
屏東縣車城鄉,2015,1,42.0
屏東縣里港鄉,2015,1,32.0
屏東縣長治鄉,2015,1,31.0
屏東縣霧臺鄉,2015,1,31.0
屏東縣高樹鄉,2015,1,32.43
屏東縣鹽埔鄉,2015,1,31.0
屏東縣麟洛鄉,2015,1,31.0
彰化縣二林鎮,2015,1,29.0
彰化縣二水鄉,2015,1,26.25
彰化縣伸港鄉,2015,1,28.75
彰化縣北斗鎮,2015,1,26.5
彰化縣和美鎮,2015,1,25.75
彰化縣員林市,2015,1,23.5
彰化縣埔心鄉,2015,1,25.0
彰化縣埔鹽鄉,2015,1,27.75
彰化縣埤頭鄉,2015,1,28.6
彰化縣大城鄉,2015,1,30.0
彰化縣大村鄉,2015,1,24.25
彰化縣彰化市,2015,1,23.0
彰化縣永靖鄉,2015,1,26.5
彰化縣溪州鄉,2015,1,26.57
彰化縣溪湖鎮,2015,1,27.75
彰化縣田中鎮,2015,1,24.5
彰化縣田尾鄉,2015,1,26.5
彰化縣社頭鄉,2015,1,23.75
彰化縣福興鄉,2015,1,27.12
彰化縣秀水鄉,2015,1,24.0
彰化縣竹塘鄉,2015,1,28.25
彰化縣線西鄉,2015,1,29.0
彰化縣芬園鄉,2015,1,23.2
彰化縣花壇鄉,2015,1,23.5
彰化縣芳苑鄉,2015,1,29.0
彰化縣鹿港鎮,2015,1,28.17
新北市三峽區,2015,1,25.71
新北市三芝區,2015,1,38.6
新北市三重區,2015,1,22.0
新北市中和區,2015,1,24.5
新北市五股區,2015,1,24.33
新北市八里區,2015,1,28.5
新北市土城區,2015,1,25.67
新北市坪林區,2015,1,27.2
新北市平溪區,2015,1,27.25
新北市新店區,2015,1,26.4
新北市新莊區,2015,1,24.33
新北市板橋區,2015,1,22.5
新北市林口區,2015,1,29.83
新北市樹林區,2015,1,25.33
新北市永和區,2015,1,24.0
新北市汐止區,2015,1,24.57
新北市淡水區,2015,1,32.67
新北市深坑區,2015,1,24.5
新北市烏來區,2015,1,26.67
新北市瑞芳區,2015,1,28.0
新北市石碇區,2015,1,25.46
新北市石門區,2015,1,34.2
新北市萬里區,2015,1,35.5
新北市蘆洲區,2015,1,24.0
新北市貢寮區,2015,1,28.0
新北市金山區,2015,1,34.75
新北市雙溪區,2015,1,27.92
新北市鶯歌區,2015,1,26.0
新竹市北區,2015,1,27.0
新竹市東區,2015,1,27.0
新竹市香山區,2015,1,27.2
新竹縣五峰鄉,2015,1,28.0
新竹縣北埔鄉,2015,1,28.75
新竹縣寶山鄉,2015,1,27.83
新竹縣尖石鄉,2015,1,28.0
新竹縣峨眉鄉,2015,1,28.2
新竹縣新埔鎮,2015,1,29.33
新竹縣新豐鄉,2015,1,30.4
新竹縣橫山鄉,2015,1,29.0
新竹縣湖口鄉,2015,1,30.75
新竹縣竹北市,2015,1,27.6
新竹縣竹東鎮,2015,1,28.67
新竹縣芎林鄉,2015,1,29.0
新竹縣關西鎮,2015,1,28.92
桃園市中壢區,2015,1,23.83
桃園市八德區,2015,1,25.5
桃園市大園區,2015,1,28.75
桃園市大溪區,2015,1,27.36
桃園市平鎮區,2015,1,24.6
桃園市復興區,2015,1,27.0
桃園市新屋區,2015,1,29.71
桃園市桃園區,2015,1,26.0
桃園市楊梅區,2015,1,28.11
桃園市蘆竹區,2015,1,27.86
桃園市觀音區,2015,1,28.9
桃園市龍潭區,2015,1,30.12
桃園市龜山區,2015,1,27.2
臺中市北屯區,2015,1,27.0
臺中市南屯區,2015,1,22.67
臺中市后里區,2015,1,31.5
臺中市外埔區,2015,1,31.0
臺中市大安區,2015,1,29.0
臺中市大甲區,2015,1,30.6
臺中市大肚區,2015,1,25.25
臺中市大里區,2015,1,22.0
臺中市大雅區,2015,1,25.5
臺中市太平區,2015,1,23.88
臺中市新社區,2015,1,29.0
臺中市東勢區,2015,1,30.14
臺中市東區,2015,1,22.0
臺中市梧棲區,2015,1,29.33
臺中市沙鹿區,2015,1,29.5
臺中市清水區,2015,1,28.78
