region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,74,378421,0.2,21.45,36.22,14.84,18.95,48.41,25.45,3.22
北北基桃竹,2016,2,690,655864,1.05,18.03,25.6,7.58,27.32,39.07,20.88,2.74
北北基桃竹,2016,3,609,624005,0.98,19.53,28.14,8.69,25.08,41.48,22.89,2.51
北北基桃竹,2016,4,698,658509,1.06,18.59,32.54,13.98,24.12,35.86,16.98,2.94
北北基桃竹,2016,5,780,649089,1.2,17.46,26.43,9.04,26.0,23.42,9.76,2.16
北北基桃竹,2016,6,1006,663862,1.52,18.25,25.11,6.86,35.61,57.42,31.61,2.96
北北基桃竹,2016,7,667,624951,1.07,17.52,26.02,8.47,23.91,33.75,17.49,2.3
北北基桃竹,2016,8,1104,664970,1.66,16.84,23.8,7.02,32.92,53.13,21.27,2.05
北北基桃竹,2016,9,1083,671608,1.61,19.77,27.15,7.36,34.1,43.39,19.79,2.38
北北基桃竹,2016,10,1053,664629,1.58,23.01,35.59,12.57,22.05,46.32,25.37,3.19
北北基桃竹,2016,11,988,658609,1.5,24.05,38.66,14.62,25.41,36.63,19.17,2.37
北北基桃竹,2016,12,965,670649,1.44,22.15,37.69,15.57,30.21,46.85,24.2,2.53
北北基桃竹,2016,13,868,664645,1.31,25.37,34.1,8.71,37.96,62.81,33.19,3.42
北北基桃竹,2016,14,877,665501,1.32,22.7,31.29,8.61,26.14,65.44,38.8,3.76
北北基桃竹,2016,15,790,638222,1.24,20.98,28.38,7.52,24.45,41.08,22.83,3.25
北北基桃竹,2016,16,809,665600,1.22,21.08,30.47,9.5,30.69,44.43,21.63,3.07
北北基桃竹,2016,17,794,663175,1.2,17.4,24.42,7.06,27.61,48.03,25.96,3.37
北北基桃竹,2016,18,733,664726,1.1,19.63,25.68,6.07,39.43,62.4,34.15,3.59
北北基桃竹,2016,19,714,643759,1.11,17.03,24.09,7.01,28.07,40.4,19.41,3.49
北北基桃竹,2016,20,692,651861,1.06,14.88,19.68,4.81,34.84,35.13,15.89,2.61
北北基桃竹,2016,21,703,657513,1.07,19.27,26.54,7.33,23.31,39.04,21.18,4.11
北北基桃竹,2016,22,649,660359,0.98,14.09,21.02,6.97,21.65,33.85,13.86,3.1
北北基桃竹,2016,23,667,637866,1.05,15.03,22.01,6.97,24.93,32.44,14.18,3.03
北北基桃竹,2016,24,576,634651,0.91,13.14,22.91,9.82,17.79,25.16,8.39,2.43
北北基桃竹,2016,25,634,652873,0.97,14.54,21.53,7.01,22.14,29.69,11.94,3.34
北北基桃竹,2016,26,591,649883,0.91,14.98,21.86,6.91,23.83,30.35,13.14,3.38
北北基桃竹,2016,27,531,613610,0.87,12.02,18.88,6.91,19.63,27.17,10.17,2.74
北北基桃竹,2016,28,500,624243,0.8,12.94,19.24,6.4,21.27,26.71,9.59,2.59
北北基桃竹,2016,29,524,636554,0.82,13.85,21.48,7.64,20.0,33.17,13.5,2.75
北北基桃竹,2016,30,531,643506,0.83,15.01,20.75,5.71,29.82,37.53,20.01,3.96
北北基桃竹,2016,31,571,658068,0.87,13.01,18.38,5.29,27.08,31.87,14.24,3.06
北北基桃竹,2016,32,522,635645,0.82,13.23,19.54,6.27,22.03,26.9,11.33,3.17
北北基桃竹,2016,33,519,644636,0.81,13.09,18.89,5.83,24.48,25.9,10.43,2.8
北北基桃竹,2016,34,509,626224,0.81,13.64,19.48,5.85,26.22,36.41,16.24,3.3
北北基桃竹,2016,35,521,642060,0.81,16.62,21.28,4.73,44.95,46.55,23.43,3.32
北北基桃竹,2016,36,546,642255,0.85,15.23,22.02,6.82,22.08,28.5,13.31,2.96
北北基桃竹,2016,37,521,617261,0.84,12.94,20.46,7.51,19.74,26.01,10.28,2.55
北北基桃竹,2016,38,460,636662,0.72,11.95,17.69,5.76,29.29,33.49,12.5,2.31
北北基桃竹,2016,39,552,624341,0.88,10.98,15.86,4.92,25.66,32.13,13.67,2.45
北北基桃竹,2016,40,473,637594,0.74,12.41,20.07,7.58,20.34,30.83,13.18,2.64
北北基桃竹,2016,41,548,646689,0.85,13.21,20.86,7.7,26.93,23.08,8.55,2.25
北北基桃竹,2016,42,482,617296,0.78,10.07,16.36,6.31,21.47,29.05,12.17,2.38
