region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,181,547819,0.33,20.67,34.98,14.4,19.54,46.31,24.44,3.19
北北基桃竹,2016,2,1421,726579,1.96,17.05,24.36,7.35,28.43,38.04,20.39,2.63
北北基桃竹,2016,3,1462,728793,2.01,18.51,26.79,8.34,26.27,40.25,22.23,2.43
北北基桃竹,2016,4,1314,722781,1.82,17.46,30.85,13.41,25.22,34.89,16.37,2.82
北北基桃竹,2016,5,1500,726227,2.07,16.4,25.09,8.76,27.23,22.41,9.15,2.09
北北基桃竹,2016,6,2014,732531,2.75,17.41,23.98,6.6,36.53,55.8,30.73,2.96
北北基桃竹,2016,7,686,693441,0.99,16.92,25.28,8.34,24.57,32.68,17.0,2.26
北北基桃竹,2016,8,1845,727324,2.54,15.88,22.57,6.73,34.17,52.45,20.56,2.03
北北基桃竹,2016,9,1685,729276,2.31,18.69,25.82,7.12,34.95,41.35,18.85,2.32
北北基桃竹,2016,10,1603,727521,2.2,22.26,34.52,12.22,22.72,44.32,24.21,3.18
北北基桃竹,2016,11,1595,730348,2.18,23.05,37.3,14.26,26.71,35.4,18.53,2.36
北北基桃竹,2016,12,1501,723455,2.07,21.33,36.47,15.17,31.44,45.52,23.54,2.44
北北基桃竹,2016,13,1447,719799,2.01,24.34,32.75,8.41,38.91,60.83,32.54,3.39
北北基桃竹,2016,14,1551,727096,2.13,22.24,30.74,8.51,26.93,63.51,38.38,3.74
北北基桃竹,2016,15,1230,728523,1.69,20.08,27.16,7.16,25.64,39.27,22.04,3.2
北北基桃竹,2016,16,1436,721055,1.99,20.38,29.5,9.21,31.9,42.9,21.14,3.01
北北基桃竹,2016,17,1417,726215,1.95,16.86,23.7,6.89,28.36,46.58,25.62,3.33
北北基桃竹,2016,18,1339,725808,1.84,19.06,24.89,5.84,40.27,61.0,33.94,3.52
北北基桃竹,2016,19,1261,727787,1.73,16.51,23.29,6.72,28.88,39.17,19.32,3.43
北北基桃竹,2016,20,1259,722566,1.74,14.08,18.68,4.64,35.51,33.84,15.37,2.51
