region,year,week,case_c,pop_total,case_per_capita(‰),NO2,NOX,NO,O3,PM10,PM25,SO2
北北基桃竹,2016,1,65,403106,0.16,20.67,34.98,14.4,19.54,46.31,24.44,3.19
北北基桃竹,2016,2,955,710514,1.34,17.05,24.36,7.35,28.43,38.04,20.39,2.63
北北基桃竹,2016,3,970,718380,1.35,18.51,26.79,8.34,26.27,40.25,22.23,2.43
北北基桃竹,2016,4,914,710286,1.29,17.46,30.85,13.41,25.22,34.89,16.37,2.82
北北基桃竹,2016,5,998,709297,1.41,16.4,25.09,8.76,27.23,22.41,9.15,2.09
北北基桃竹,2016,6,1354,725394,1.87,17.41,23.98,6.6,36.53,55.8,30.73,2.96
北北基桃竹,2016,7,408,646869,0.63,16.92,25.28,8.34,24.57,32.68,17.0,2.26
北北基桃竹,2016,8,1289,721839,1.79,15.88,22.57,6.73,34.17,52.45,20.56,2.03
北北基桃竹,2016,9,1142,725509,1.57,18.69,25.82,7.12,34.95,41.35,18.85,2.32
北北基桃竹,2016,10,1168,729628,1.6,22.26,34.52,12.22,22.72,44.32,24.21,3.18
北北基桃竹,2016,11,1132,724242,1.56,23.05,37.3,14.26,26.71,35.4,18.53,2.36
北北基桃竹,2016,12,1112,711670,1.56,21.33,36.47,15.17,31.44,45.52,23.54,2.44
北北基桃竹,2016,13,1053,716479,1.47,24.34,32.75,8.41,38.91,60.83,32.54,3.39
北北基桃竹,2016,14,1142,718218,1.59,22.24,30.74,8.51,26.93,63.51,38.38,3.74
北北基桃竹,2016,15,817,716258,1.14,20.08,27.16,7.16,25.64,39.27,22.04,3.2
北北基桃竹,2016,16,1046,712623,1.47,20.38,29.5,9.21,31.9,42.9,21.14,3.01
北北基桃竹,2016,17,1036,719604,1.44,16.86,23.7,6.89,28.36,46.58,25.62,3.33
北北基桃竹,2016,18,966,719650,1.34,19.06,24.89,5.84,40.27,61.0,33.94,3.52
北北基桃竹,2016,19,929,706844,1.31,16.51,23.29,6.72,28.88,39.17,19.32,3.43
北北基桃竹,2016,20,966,718258,1.34,14.08,18.68,4.64,35.51,33.84,15.37,2.51
北北基桃竹,2016,21,903,713190,1.27,18.29,25.25,6.98,23.88,37.42,20.51,3.96
北北基桃竹,2016,22,960,709730,1.35,13.88,20.6,6.76,22.19,32.99,13.91,3.14
北北基桃竹,2016,23,872,717244,1.22,14.77,21.58,6.78,25.24,31.64,14.18,3.04
北北基桃竹,2016,24,732,705828,1.04,13.01,22.57,9.58,17.87,24.42,8.5,2.38
北北基桃竹,2016,25,835,705515,1.18,14.56,21.34,6.8,22.91,29.06,12.24,3.36
北北基桃竹,2016,26,861,703997,1.22,14.97,21.6,6.68,24.66,29.66,13.51,3.43
北北基桃竹,2016,27,710,705231,1.01,11.69,18.31,6.66,19.53,25.83,9.96,2.76
北北基桃竹,2016,28,670,686838,0.98,12.65,18.75,6.18,21.59,26.03,9.77,2.58
北北基桃竹,2016,29,813,716687,1.13,13.88,21.29,7.43,20.86,32.46,13.79,2.78
北北基桃竹,2016,30,782,698276,1.12,14.79,20.3,5.51,30.88,36.52,20.16,3.9
北北基桃竹,2016,31,686,691903,0.99,12.6,17.81,5.13,27.11,30.15,13.98,3.07
北北基桃竹,2016,32,746,705485,1.06,12.74,18.83,6.07,21.99,25.47,11.04,3.13
北北基桃竹,2016,33,679,688581,0.99,12.43,18.01,5.6,24.68,24.07,9.93,2.73
北北基桃竹,2016,34,755,695513,1.09,13.18,18.86,5.67,26.49,34.73,16.13,3.26
北北基桃竹,2016,35,729,699105,1.04,15.98,20.48,4.58,45.67,45.27,23.17,3.27
北北基桃竹,2016,36,742,699949,1.06,14.75,21.29,6.59,22.72,27.73,13.24,2.99
北北基桃竹,2016,37,776,703835,1.1,12.37,19.6,7.22,20.26,25.1,9.94,2.5
北北基桃竹,2016,38,660,698420,0.94,11.27,16.81,5.56,29.73,32.93,12.07,2.26
北北基桃竹,2016,39,811,689539,1.18,10.24,14.92,4.73,26.23,31.37,13.49,2.37
北北基桃竹,2016,40,604,686328,0.88,11.6,18.93,7.28,20.38,29.26,12.58,2.57
北北基桃竹,2016,41,846,713502,1.19,12.55,19.91,7.42,27.74,22.34,8.1,2.16
北北基桃竹,2016,42,697,701589,0.99,9.32,15.37,6.04,20.84,27.16,11.05,2.32
北北基桃竹,2016,43,809,717568,1.13,17.42,24.25,6.82,27.9,43.67,21.68,3.83
北北基桃竹,2016,44,764,709538,1.08,12.02,16.53,4.62,35.19,36.06,13.67,2.65
北北基桃竹,2016,45,850,691711,1.23,16.72,23.58,6.87,29.1,35.28,15.89,2.87
北北基桃竹,2016,46,852,718651,1.19,18.67,25.8,7.14,31.72,46.29,21.34,3.39
北北基桃竹,2016,47,880,707211,1.24,18.14,27.12,9.0,23.1,28.6,12.23,3.15
北北基桃竹,2016,48,884,706960,1.25,13.63,19.21,5.61,30.01,37.44,13.71,2.21
北北基桃竹,2016,49,884,704146,1.26,14.35,19.26,4.94,31.82,41.42,16.74,2.82
北北基桃竹,2016,50,954,708467,1.35,15.12,21.35,6.21,32.5,40.01,16.75,2.4
