region,year,week,value
中彰投,2016,48,21.82
北北基桃竹苗,2016,48,31.47
宜花東,2016,48,19.6
雲嘉南,2016,48,20.08
高屏,2016,48,23.45
中彰投,2016,49,19.76
北北基桃竹苗,2016,49,27.39
宜花東,2016,49,17.7
雲嘉南,2016,49,18.68
高屏,2016,49,23.35
中彰投,2016,50,29.95
北北基桃竹苗,2016,50,35.31
宜花東,2016,50,18.59
雲嘉南,2016,50,25.68
高屏,2016,50,20.8
中彰投,2016,51,28.1
北北基桃竹苗,2016,51,53.65
宜花東,2016,51,23.07
雲嘉南,2016,51,22.04
高屏,2016,51,22.38
中彰投,2016,52,27.92
北北基桃竹苗,2016,52,32.49
宜花東,2016,52,18.76
雲嘉南,2016,52,24.44
高屏,2016,52,28.2
中彰投,2017,1,32.78
北北基桃竹苗,2017,1,46.83
宜花東,2017,1,20.71
雲嘉南,2017,1,25.28
高屏,2017,1,22.06
中彰投,2017,2,25.49
北北基桃竹苗,2017,2,29.96
宜花東,2017,2,17.53
雲嘉南,2017,2,22.54
高屏,2017,2,23.55
中彰投,2017,3,24.73
北北基桃竹苗,2017,3,36.42
宜花東,2017,3,19.65
雲嘉南,2017,3,20.89
高屏,2017,3,21.44
中彰投,2017,4,18.51
北北基桃竹苗,2017,4,27.42
宜花東,2017,4,16.41
雲嘉南,2017,4,18.36
高屏,2017,4,19.78
中彰投,2017,5,15.07
北北基桃竹苗,2017,5,32.04
宜花東,2017,5,15.56
雲嘉南,2017,5,15.07
高屏,2017,5,15.1
中彰投,2017,6,15.84
北北基桃竹苗,2017,6,27.54
宜花東,2017,6,16.79
雲嘉南,2017,6,17.07
高屏,2017,6,20.52
中彰投,2017,7,26.62
北北基桃竹苗,2017,7,40.76
宜花東,2017,7,18.16
雲嘉南,2017,7,22.01
高屏,2017,7,19.8
中彰投,2017,8,26.83
北北基桃竹苗,2017,8,45.02
宜花東,2017,8,19.55
雲嘉南,2017,8,20.45
高屏,2017,8,22.2
中彰投,2017,9,16.66
北北基桃竹苗,2017,9,43.45
宜花東,2017,9,15.48
雲嘉南,2017,9,14.08
高屏,2017,9,14.3
中彰投,2017,10,23.35
北北基桃竹苗,2017,10,41.19
宜花東,2017,10,17.26
雲嘉南,2017,10,16.28
高屏,2017,10,22.3
中彰投,2017,11,17.73
北北基桃竹苗,2017,11,32.74
宜花東,2017,11,18.12
雲嘉南,2017,11,15.25
高屏,2017,11,17.49
中彰投,2017,12,16.16
北北基桃竹苗,2017,12,35.79
宜花東,2017,12,16.29
雲嘉南,2017,12,13.83
高屏,2017,12,14.14
中彰投,2017,13,18.32
北北基桃竹苗,2017,13,35.72
宜花東,2017,13,16.15
雲嘉南,2017,13,14.0
高屏,2017,13,12.9
中彰投,2017,14,13.35
北北基桃竹苗,2017,14,36.47
宜花東,2017,14,13.39
雲嘉南,2017,14,12.09
高屏,2017,14,11.29
中彰投,2017,15,23.16
北北基桃竹苗,2017,15,42.7
宜花東,2017,15,17.38
雲嘉南,2017,15,15.9
高屏,2017,15,20.5
中彰投,2017,16,15.4
北北基桃竹苗,2017,16,42.3
宜花東,2017,16,18.46
雲嘉南,2017,16,13.51
高屏,2017,16,14.9
中彰投,2017,17,14.61
北北基桃竹苗,2017,17,40.22
宜花東,2017,17,16.71
雲嘉南,2017,17,13.77
高屏,2017,17,12.78
中彰投,2017,18,18.13
北北基桃竹苗,2017,18,35.4
宜花東,2017,18,15.88
雲嘉南,2017,18,12.75
高屏,2017,18,11.81
中彰投,2017,19,15.26
北北基桃竹苗,2017,19,33.03
宜花東,2017,19,16.54
雲嘉南,2017,19,13.39
高屏,2017,19,14.7
中彰投,2017,20,13.98
北北基桃竹苗,2017,20,23.68
宜花東,2017,20,14.79
雲嘉南,2017,20,11.05
高屏,2017,20,12.98
中彰投,2017,21,14.04
北北基桃竹苗,2017,21,28.25
宜花東,2017,21,15.99
雲嘉南,2017,21,12.93
高屏,2017,21,12.07
中彰投,2017,22,13.22
北北基桃竹苗,2017,22,29.91
宜花東,2017,22,17.13
雲嘉南,2017,22,12.46
高屏,2017,22,13.96
中彰投,2017,23,17.27
北北基桃竹苗,2017,23,36.14
宜花東,2017,23,20.53
雲嘉南,2017,23,14.72
高屏,2017,23,16.67
中彰投,2017,24,16.07
北北基桃竹苗,2017,24,42.48
宜花東,2017,24,19.72
雲嘉南,2017,24,15.02
高屏,2017,24,18.35
中彰投,2017,25,19.22
北北基桃竹苗,2017,25,56.45
宜花東,2017,25,22.4
雲嘉南,2017,25,16.46
高屏,2017,25,18.93
中彰投,2017,26,13.85
北北基桃竹苗,2017,26,32.88
宜花東,2017,26,18.14
雲嘉南,2017,26,13.66
高屏,2017,26,16.15
中彰投,2017,27,15.43
北北基桃竹苗,2017,27,40.52
宜花東,2017,27,23.22
雲嘉南,2017,27,15.93
高屏,2017,27,17.91
中彰投,2017,28,12.7
北北基桃竹苗,2017,28,37.18
宜花東,2017,28,19.23
雲嘉南,2017,28,13.69
高屏,2017,28,14.82
中彰投,2017,29,12.66
北北基桃竹苗,2017,29,31.84
宜花東,2017,29,19.33
雲嘉南,2017,29,12.43
高屏,2017,29,13.26
中彰投,2017,30,9.83
北北基桃竹苗,2017,30,29.75
宜花東,2017,30,17.23
雲嘉南,2017,30,10.44
高屏,2017,30,13.78
中彰投,2017,31,12.45
北北基桃竹苗,2017,31,36.17
宜花東,2017,31,17.5
雲嘉南,2017,31,12.61
高屏,2017,31,14.22
中彰投,2017,32,12.01
北北基桃竹苗,2017,32,32.47
宜花東,2017,32,15.04
雲嘉南,2017,32,13.24
高屏,2017,32,14.1
中彰投,2017,33,15.93
北北基桃竹苗,2017,33,32.22
宜花東,2017,33,15.95
雲嘉南,2017,33,13.97
高屏,2017,33,12.7
中彰投,2017,34,14.96
北北基桃竹苗,2017,34,31.38
宜花東,2017,34,17.38
雲嘉南,2017,34,12.12
高屏,2017,34,12.62
中彰投,2017,35,13.43
北北基桃竹苗,2017,35,26.94
宜花東,2017,35,18.32
雲嘉南,2017,35,12.81
高屏,2017,35,13.6
中彰投,2017,36,11.53
北北基桃竹苗,2017,36,33.89
宜花東,2017,36,14.77
雲嘉南,2017,36,12.46
高屏,2017,36,12.05
中彰投,2017,37,16.31
北北基桃竹苗,2017,37,34.69
宜花東,2017,37,16.69
雲嘉南,2017,37,13.94
高屏,2017,37,10.83
中彰投,2017,38,8.74
北北基桃竹苗,2017,38,24.81
宜花東,2017,38,14.59
雲嘉南,2017,38,9.9
高屏,2017,38,7.88
中彰投,2017,39,13.87
北北基桃竹苗,2017,39,30.14
宜花東,2017,39,16.24
雲嘉南,2017,39,12.9
高屏,2017,39,12.23
中彰投,2017,40,12.57
北北基桃竹苗,2017,40,22.06
宜花東,2017,40,11.98
雲嘉南,2017,40,8.45
高屏,2017,40,8.28
中彰投,2017,41,14.96
北北基桃竹苗,2017,41,26.1
宜花東,2017,41,18.56
雲嘉南,2017,41,13.72
高屏,2017,41,14.38
中彰投,2017,42,14.99
北北基桃竹苗,2017,42,40.97
宜花東,2017,42,16.86
雲嘉南,2017,42,13.47
高屏,2017,42,14.1
中彰投,2017,43,9.81
北北基桃竹苗,2017,43,26.89
宜花東,2017,43,12.97
雲嘉南,2017,43,11.39
高屏,2017,43,10.81
中彰投,2017,44,13.79
北北基桃竹苗,2017,44,29.69
宜花東,2017,44,14.02
雲嘉南,2017,44,13.56
高屏,2017,44,11.31
中彰投,2017,45,15.09
北北基桃竹苗,2017,45,26.94
宜花東,2017,45,15.95
雲嘉南,2017,45,12.73
高屏,2017,45,14.48
中彰投,2017,46,23.2
北北基桃竹苗,2017,46,34.96
宜花東,2017,46,18.16
雲嘉南,2017,46,18.52
高屏,2017,46,17.99
中彰投,2017,47,16.49
北北基桃竹苗,2017,47,33.94
宜花東,2017,47,17.89
雲嘉南,2017,47,13.48
高屏,2017,47,16.79
中彰投,2017,48,18.84
北北基桃竹苗,2017,48,36.41
宜花東,2017,48,15.13
雲嘉南,2017,48,13.59
高屏,2017,48,15.62
中彰投,2017,49,21.59
北北基桃竹苗,2017,49,34.79
宜花東,2017,49,16.83
雲嘉南,2017,49,16.12
高屏,2017,49,17.13
中彰投,2017,50,30.66
北北基桃竹苗,2017,50,38.38
宜花東,2017,50,17.35
雲嘉南,2017,50,23.84
高屏,2017,50,20.84
中彰投,2017,51,20.29
北北基桃竹苗,2017,51,36.06
宜花東,2017,51,14.12
雲嘉南,2017,51,15.16
高屏,2017,51,15.77
中彰投,2017,52,21.65
北北基桃竹苗,2017,52,26.94
宜花東,2017,52,11.95
雲嘉南,2017,52,15.85
高屏,2017,52,13.56
中彰投,2018,1,33.49
北北基桃竹苗,2018,1,35.45
宜花東,2018,1,18.98
雲嘉南,2018,1,22.5
高屏,2018,1,25.97
中彰投,2018,2,24.0
北北基桃竹苗,2018,2,44.05
宜花東,2018,2,16.94
雲嘉南,2018,2,19.62
高屏,2018,2,20.8
中彰投,2018,3,29.78
北北基桃竹苗,2018,3,49.85
宜花東,2018,3,20.65
雲嘉南,2018,3,19.76
高屏,2018,3,21.96
中彰投,2018,4,19.09
北北基桃竹苗,2018,4,26.34
宜花東,2018,4,12.57
雲嘉南,2018,4,15.79
高屏,2018,4,17.45
中彰投,2018,5,18.04
北北基桃竹苗,2018,5,28.45
宜花東,2018,5,14.77
雲嘉南,2018,5,16.92
高屏,2018,5,21.6
中彰投,2018,6,37.77
北北基桃竹苗,2018,6,52.01
宜花東,2018,6,22.77
雲嘉南,2018,6,22.94
高屏,2018,6,24.09
中彰投,2018,7,16.35
北北基桃竹苗,2018,7,37.42
宜花東,2018,7,13.29
雲嘉南,2018,7,13.05
高屏,2018,7,14.94
中彰投,2018,8,19.13
北北基桃竹苗,2018,8,34.12
宜花東,2018,8,14.34
雲嘉南,2018,8,14.23
高屏,2018,8,16.61
中彰投,2018,9,29.97
北北基桃竹苗,2018,9,70.27
宜花東,2018,9,19.97
雲嘉南,2018,9,21.2
高屏,2018,9,18.61
中彰投,2018,10,14.96
北北基桃竹苗,2018,10,29.15
宜花東,2018,10,12.6
雲嘉南,2018,10,14.05
高屏,2018,10,15.62
中彰投,2018,11,18.9
北北基桃竹苗,2018,11,49.52
宜花東,2018,11,14.29
雲嘉南,2018,11,14.52
高屏,2018,11,13.8
中彰投,2018,12,14.38
北北基桃竹苗,2018,12,28.45
宜花東,2018,12,11.69
雲嘉南,2018,12,13.43
高屏,2018,12,11.81
中彰投,2018,13,12.43
北北基桃竹苗,2018,13,27.54
宜花東,2018,13,11.49
雲嘉南,2018,13,10.3
高屏,2018,13,8.77
中彰投,2018,14,13.25
北北基桃竹苗,2018,14,25.41
宜花東,2018,14,10.62
雲嘉南,2018,14,9.9
高屏,2018,14,8.52
中彰投,2018,15,13.56
北北基桃竹苗,2018,15,45.37
宜花東,2018,15,16.84
雲嘉南,2018,15,13.42
高屏,2018,15,13.7
中彰投,2018,16,11.42
北北基桃竹苗,2018,16,24.46
宜花東,2018,16,10.21
雲嘉南,2018,16,11.39
高屏,2018,16,8.34
中彰投,2018,17,12.18
北北基桃竹苗,2018,17,25.52
宜花東,2018,17,13.24
雲嘉南,2018,17,12.18
高屏,2018,17,8.75
中彰投,2018,18,12.05
北北基桃竹苗,2018,18,26.65
宜花東,2018,18,11.61
雲嘉南,2018,18,11.92
高屏,2018,18,10.75
中彰投,2018,19,10.84
北北基桃竹苗,2018,19,24.41
宜花東,2018,19,13.55
雲嘉南,2018,19,13.25
高屏,2018,19,10.59
中彰投,2018,20,15.51
北北基桃竹苗,2018,20,32.5
宜花東,2018,20,15.7
雲嘉南,2018,20,16.05
高屏,2018,20,15.24
中彰投,2018,21,13.27
北北基桃竹苗,2018,21,25.02
宜花東,2018,21,13.44
雲嘉南,2018,21,13.01
高屏,2018,21,11.15
中彰投,2018,22,9.83
北北基桃竹苗,2018,22,20.87
宜花東,2018,22,11.09
雲嘉南,2018,22,12.12
高屏,2018,22,10.53
中彰投,2018,23,10.19
北北基桃竹苗,2018,23,27.34
宜花東,2018,23,14.74
雲嘉南,2018,23,11.29
高屏,2018,23,8.77
中彰投,2018,24,8.49
北北基桃竹苗,2018,24,21.31
宜花東,2018,24,9.76
雲嘉南,2018,24,9.78
高屏,2018,24,8.22
中彰投,2018,25,14.23
北北基桃竹苗,2018,25,35.85
宜花東,2018,25,17.1
雲嘉南,2018,25,16.63
高屏,2018,25,18.89
中彰投,2018,26,15.38
北北基桃竹苗,2018,26,29.62
宜花東,2018,26,14.57
雲嘉南,2018,26,15.3
高屏,2018,26,13.6
中彰投,2018,27,14.36
北北基桃竹苗,2018,27,32.65
宜花東,2018,27,17.6
雲嘉南,2018,27,15.74
高屏,2018,27,20.32
中彰投,2018,28,13.16
北北基桃竹苗,2018,28,30.6
宜花東,2018,28,15.56
雲嘉南,2018,28,14.0
高屏,2018,28,10.97
中彰投,2018,29,9.18
北北基桃竹苗,2018,29,32.88
宜花東,2018,29,20.66
雲嘉南,2018,29,11.36
高屏,2018,29,9.83
中彰投,2018,30,13.48
北北基桃竹苗,2018,30,33.26
宜花東,2018,30,16.0
雲嘉南,2018,30,13.94
高屏,2018,30,12.7
中彰投,2018,31,12.3
北北基桃竹苗,2018,31,28.97
宜花東,2018,31,13.51
雲嘉南,2018,31,14.14
高屏,2018,31,14.24
中彰投,2018,32,8.89
北北基桃竹苗,2018,32,25.65
宜花東,2018,32,13.5
雲嘉南,2018,32,11.51
高屏,2018,32,9.59
中彰投,2018,33,11.25
北北基桃竹苗,2018,33,28.79
宜花東,2018,33,15.36
雲嘉南,2018,33,13.3
高屏,2018,33,13.68
中彰投,2018,34,10.42
北北基桃竹苗,2018,34,26.26
宜花東,2018,34,13.61
雲嘉南,2018,34,13.28
高屏,2018,34,11.87
中彰投,2018,35,19.32
北北基桃竹苗,2018,35,41.1
宜花東,2018,35,19.82
雲嘉南,2018,35,20.54
高屏,2018,35,24.75
中彰投,2018,36,13.77
北北基桃竹苗,2018,36,28.22
宜花東,2018,36,14.52
雲嘉南,2018,36,13.71
高屏,2018,36,12.07
中彰投,2018,37,16.79
北北基桃竹苗,2018,37,31.87
宜花東,2018,37,17.38
雲嘉南,2018,37,14.53
高屏,2018,37,12.84
中彰投,2018,38,14.82
北北基桃竹苗,2018,38,28.79
宜花東,2018,38,15.85
雲嘉南,2018,38,12.59
高屏,2018,38,10.35
中彰投,2018,39,7.99
北北基桃竹苗,2018,39,23.23
宜花東,2018,39,12.49
雲嘉南,2018,39,7.18
高屏,2018,39,7.92
中彰投,2018,40,9.39
北北基桃竹苗,2018,40,19.82
宜花東,2018,40,9.66
雲嘉南,2018,40,8.13
高屏,2018,40,7.36
中彰投,2018,41,13.56
北北基桃竹苗,2018,41,22.06
宜花東,2018,41,11.88
雲嘉南,2018,41,13.22
高屏,2018,41,9.99
中彰投,2018,42,12.18
北北基桃竹苗,2018,42,22.17
宜花東,2018,42,11.85
雲嘉南,2018,42,13.04
高屏,2018,42,8.93
中彰投,2018,43,13.56
北北基桃竹苗,2018,43,27.55
宜花東,2018,43,14.13
雲嘉南,2018,43,13.21
高屏,2018,43,9.03
中彰投,2018,44,20.14
北北基桃竹苗,2018,44,23.59
宜花東,2018,44,19.75
雲嘉南,2018,44,16.49
高屏,2018,44,17.63
中彰投,2018,45,20.66
北北基桃竹苗,2018,45,34.34
宜花東,2018,45,18.58
雲嘉南,2018,45,17.47
高屏,2018,45,12.01
中彰投,2018,46,19.22
北北基桃竹苗,2018,46,29.94
宜花東,2018,46,15.51
雲嘉南,2018,46,17.06
高屏,2018,46,12.54
中彰投,2018,47,18.93
北北基桃竹苗,2018,47,29.05
宜花東,2018,47,14.67
雲嘉南,2018,47,14.92
高屏,2018,47,13.7
中彰投,2018,48,26.51
北北基桃竹苗,2018,48,35.78
宜花東,2018,48,17.65
雲嘉南,2018,48,18.71
高屏,2018,48,16.93
中彰投,2018,49,27.37
北北基桃竹苗,2018,49,40.67
宜花東,2018,49,16.79
雲嘉南,2018,49,21.29
高屏,2018,49,15.56
中彰投,2018,50,20.9
北北基桃竹苗,2018,50,32.1
宜花東,2018,50,16.52
雲嘉南,2018,50,17.65
高屏,2018,50,20.48
中彰投,2018,51,23.12
北北基桃竹苗,2018,51,45.84
宜花東,2018,51,17.31
雲嘉南,2018,51,19.17
高屏,2018,51,15.99
中彰投,2018,52,15.38
北北基桃竹苗,2018,52,25.65
宜花東,2018,52,14.35
雲嘉南,2018,52,13.94
高屏,2018,52,14.48
中彰投,2019,1,29.76
北北基桃竹苗,2019,1,37.5
宜花東,2019,1,20.23
雲嘉南,2019,1,20.94
高屏,2019,1,24.15
中彰投,2019,2,31.75
北北基桃竹苗,2019,2,43.68
宜花東,2019,2,19.27
雲嘉南,2019,2,21.66
高屏,2019,2,19.48
中彰投,2019,3,17.65
北北基桃竹苗,2019,3,39.29
宜花東,2019,3,13.6
雲嘉南,2019,3,13.37
高屏,2019,3,15.83
中彰投,2019,4,19.32
北北基桃竹苗,2019,4,31.62
宜花東,2019,4,14.88
雲嘉南,2019,4,16.17
高屏,2019,4,18.59
中彰投,2019,5,23.22
北北基桃竹苗,2019,5,45.17
宜花東,2019,5,16.73
雲嘉南,2019,5,18.17
高屏,2019,5,16.85
中彰投,2019,6,11.42
北北基桃竹苗,2019,6,20.12
