日期,地區,測項
2017-05-21,富貴角,PM10
2017-05-21,富貴角,PM2.5
2017-05-28,富貴角,PM10
2017-05-28,富貴角,PM2.5
2017-06-04,富貴角,PM10
2017-06-04,富貴角,PM2.5
2017-06-11,富貴角,PM10
2017-06-11,富貴角,PM2.5
2017-06-18,富貴角,PM10
2017-06-18,富貴角,PM2.5
2017-06-25,富貴角,PM10
2017-06-25,富貴角,PM2.5
2017-07-02,富貴角,PM10
2017-07-02,富貴角,PM2.5
2017-07-09,富貴角,PM10
2017-07-09,富貴角,PM2.5
2017-07-16,富貴角,PM10
2017-07-16,富貴角,PM2.5
2017-07-23,富貴角,PM10
2017-07-23,富貴角,PM2.5
2017-07-30,富貴角,PM10
2017-07-30,富貴角,PM2.5
2017-08-06,富貴角,PM10
2017-08-06,富貴角,PM2.5
2017-08-13,富貴角,PM10
2017-08-13,富貴角,PM2.5
2017-08-20,富貴角,PM10
2017-08-20,富貴角,PM2.5
2017-08-27,富貴角,PM10
2017-08-27,富貴角,PM2.5
2017-09-03,富貴角,PM10
2017-09-03,富貴角,PM2.5
2017-09-10,富貴角,PM10
2017-09-10,富貴角,PM2.5
2017-09-17,富貴角,PM10
2017-09-17,富貴角,PM2.5
2017-09-24,富貴角,NO
2017-09-24,富貴角,NO2
2017-09-24,富貴角,NOx
2017-09-24,富貴角,PM10
2017-09-24,富貴角,PM2.5
2017-10-01,富貴角,PM10
2017-10-01,富貴角,PM2.5
2017-10-08,富貴角,PM10
2017-10-08,富貴角,PM2.5
2017-11-19,平鎮,NO
2017-11-19,平鎮,NO2
2017-11-19,平鎮,NOx
2017-08-20,新店,SO2
2017-09-17,菜寮,PM10
2017-06-25,萬華,NO
2017-06-25,萬華,NO2
2017-06-25,萬華,NOx
2017-09-10,觀音,PM2.5
2017-10-29,冬山,SO2
2017-10-22,湖口,PM10
2017-07-09,竹東,SO2
2017-07-02,關山,SO2
2017-04-09,馬公,NO
2017-04-09,馬公,NO2
2017-04-09,馬公,NOx
2017-04-16,馬公,NO
2017-04-16,馬公,NO2
2017-04-16,馬公,NOx
2017-07-23,馬公,PM2.5
2017-04-02,安南,PM2.5
2017-08-06,新港,NO
2017-08-06,新港,NO2
2017-08-06,新港,NOx
2017-08-27,新港,NO
2017-08-27,新港,NO2
2017-08-27,新港,NOx
2017-07-30,仁武,PM10
2017-08-06,仁武,PM10
2017-01-01,林園,PM2.5
2017-01-08,林園,PM2.5
2017-01-15,林園,PM2.5
2017-01-22,林園,PM2.5
2017-01-29,林園,PM2.5
2017-02-05,林園,PM2.5
2017-02-12,林園,PM2.5
2017-02-19,林園,PM2.5
2017-02-26,林園,PM2.5
2017-08-13,林園,PM2.5
2017-08-20,林園,PM2.5
2017-10-08,潮州,NO
2017-10-08,潮州,NO2
2017-10-08,潮州,NOx
2018-05-07,西屯,O3
2018-01-01,三重,O3
2018-01-08,三重,O3
2018-01-15,三重,O3
2018-01-22,三重,O3
2018-01-29,三重,O3
2018-02-05,三重,O3
2018-02-12,三重,O3
2018-02-19,三重,O3
2018-02-26,三重,O3
2018-03-05,三重,O3
2018-03-12,三重,O3
2018-03-19,三重,O3
2018-03-26,三重,O3
2018-04-02,三重,O3
2018-04-09,三重,O3
2018-04-16,三重,O3
2018-04-23,三重,O3
2018-04-30,三重,O3
2018-05-07,三重,O3
2018-05-14,三重,O3
2018-05-21,三重,O3
2018-05-28,三重,O3
2018-06-04,三重,O3
2018-06-11,三重,O3
2018-06-18,三重,O3
2018-06-25,三重,O3
2018-07-02,三重,O3
2018-07-09,三重,O3
2018-07-16,三重,O3
2018-07-23,三重,O3
2018-07-30,三重,O3
2018-08-06,三重,O3
2018-08-13,三重,O3
2018-08-20,三重,O3
2018-08-27,三重,O3
2018-09-03,三重,O3
2018-09-10,三重,O3
2018-09-17,三重,O3
2018-09-24,三重,O3
2018-10-01,三重,O3
2018-10-08,三重,O3
2018-10-15,三重,O3
2018-10-22,三重,O3
2018-10-29,三重,O3
2018-11-05,三重,O3
2018-11-12,三重,O3
2018-11-19,三重,O3
2018-11-26,三重,O3
2018-12-03,三重,O3
2018-12-10,三重,O3
2018-12-17,三重,O3
2018-12-24,三重,O3
2018-01-29,古亭,PM2.5
2018-02-05,古亭,PM2.5
2018-02-12,古亭,PM2.5
2018-02-19,古亭,PM2.5
2018-02-26,古亭,PM2.5
2018-03-05,古亭,PM2.5
2018-03-12,古亭,PM2.5
2018-03-19,古亭,PM2.5
2018-03-26,古亭,PM2.5
2018-04-02,古亭,PM2.5
2018-04-09,古亭,PM2.5
2018-04-16,古亭,PM2.5
2018-04-23,古亭,PM2.5
2018-01-01,大同,O3
2018-01-08,大同,O3
2018-01-15,大同,O3
2018-01-22,大同,O3
2018-01-29,大同,O3
2018-02-05,大同,O3
2018-02-12,大同,O3
2018-02-19,大同,O3
2018-02-26,大同,O3
2018-03-05,大同,O3
2018-03-12,大同,O3
2018-03-19,大同,O3
2018-03-26,大同,O3
2018-04-02,大同,O3
2018-04-09,大同,O3
2018-04-16,大同,O3
2018-04-23,大同,O3
2018-04-30,大同,O3
2018-05-07,大同,O3
2018-05-14,大同,O3
2018-05-21,大同,O3
2018-05-28,大同,O3
2018-06-04,大同,O3
2018-06-11,大同,O3
2018-06-18,大同,O3
2018-06-25,大同,O3
2018-07-02,大同,O3
2018-07-09,大同,O3
2018-07-16,大同,O3
2018-07-23,大同,O3
2018-07-30,大同,O3
2018-08-06,大同,O3
2018-08-13,大同,O3
2018-08-20,大同,O3
2018-08-27,大同,O3
2018-09-03,大同,O3
2018-09-10,大同,O3
2018-09-17,大同,O3
2018-09-24,大同,O3
2018-10-01,大同,O3
2018-10-08,大同,O3
2018-10-15,大同,O3
2018-10-22,大同,O3
2018-10-29,大同,O3
2018-11-05,大同,O3
2018-11-12,大同,O3
2018-11-19,大同,O3
2018-11-26,大同,O3
2018-12-03,大同,O3
2018-12-10,大同,O3
2018-12-17,大同,O3
2018-12-24,大同,O3
2018-05-14,大園,O3
2018-11-12,大園,NO
2018-11-12,大園,NO2
2018-11-12,大園,NOx
2018-02-05,富貴角,NO
2018-02-05,富貴角,NO2
2018-02-05,富貴角,NOx
2018-02-12,富貴角,NO
2018-02-12,富貴角,NO2
2018-02-12,富貴角,NOx
2018-02-26,富貴角,NO
2018-02-26,富貴角,NO2
2018-02-26,富貴角,NOx
2018-03-05,富貴角,NO
2018-03-05,富貴角,NO2
2018-03-05,富貴角,NOx
2018-03-12,富貴角,NO
2018-03-12,富貴角,NO2
2018-03-12,富貴角,NOx
2018-03-19,富貴角,NO
2018-03-19,富貴角,NO2
2018-03-19,富貴角,NOx
2018-07-16,林口,PM2.5
2018-07-23,林口,PM2.5
2018-07-30,林口,PM2.5
2018-08-06,林口,PM2.5
2018-08-13,林口,PM2.5
2018-08-20,林口,PM2.5
2018-08-27,林口,PM2.5
2018-09-03,桃園,O3
2018-02-05,新竹,SO2
2018-06-04,關山,PM2.5
2018-09-24,關山,SO2
2018-03-05,新營,NO
2018-03-05,新營,NO2
2018-03-05,新營,NOx
2018-09-17,恆春,SO2
2018-06-18,橋頭,PM2.5
2018-06-25,橋頭,PM2.5
2018-07-02,橋頭,PM2.5
2018-07-09,橋頭,PM2.5
2018-07-16,橋頭,PM2.5
2018-07-23,橋頭,PM2.5
2018-07-30,橋頭,PM2.5
2018-08-06,橋頭,PM2.5
2018-08-13,橋頭,PM2.5
2018-08-20,橋頭,PM2.5
2018-08-27,橋頭,PM2.5
2018-06-11,潮州,NO
2018-06-11,潮州,NO2
2018-06-11,潮州,NOx
2018-08-27,潮州,NO
2018-08-27,潮州,NO2
2018-08-27,潮州,NOx
2019-07-09,南投,O3
2019-07-09,南投,PM10
2019-07-09,南投,PM2.5
2019-07-09,南投,SO2
2019-07-02,大里,PM10
2019-06-18,竹山,PM10
2019-06-18,線西,PM10
2019-11-05,西屯,SO2
2019-03-26,豐原,SO2
2019-04-02,豐原,SO2
