region,year,week,case_c,pop_total,case_per_capita(‰),NO,NO2,NOx,O3,PM10,PM25,SO2
中彰投,2016,1,58,153694,0.38,50.99,120.87,172.0,131.39,365.03,198.22,19.85
中彰投,2016,2,459,271832,1.69,21.4,106.74,128.1,175.08,298.23,162.66,18.4
中彰投,2016,3,411,264154,1.56,31.42,126.92,158.57,148.15,307.85,179.76,19.07
中彰投,2016,4,439,276165,1.59,35.8,109.8,145.09,165.63,276.77,136.08,18.25
中彰投,2016,5,484,266889,1.81,30.72,107.68,138.13,157.54,209.2,106.38,16.35
中彰投,2016,6,674,291565,2.31,19.26,94.58,113.15,270.51,435.61,257.3,21.27
中彰投,2016,7,468,278957,1.68,25.84,103.13,128.6,146.33,278.16,157.54,18.19
中彰投,2016,8,817,300724,2.72,24.23,122.84,147.31,190.15,442.57,241.52,18.51
中彰投,2016,9,710,296649,2.39,26.6,129.33,156.07,218.7,449.51,231.29,21.8
中彰投,2016,10,703,296721,2.37,27.98,122.79,150.75,177.2,390.26,235.0,22.72
中彰投,2016,11,698,295353,2.36,42.04,145.85,187.41,143.67,276.42,165.17,18.44
中彰投,2016,12,585,295501,1.98,34.83,129.02,163.83,159.74,392.15,227.65,18.23
中彰投,2016,13,528,291305,1.81,16.54,119.73,136.27,309.01,441.31,258.33,22.95
中彰投,2016,14,658,293610,2.24,18.53,97.01,115.56,213.58,506.85,309.7,22.09
中彰投,2016,15,518,293306,1.77,18.44,101.06,119.31,194.18,334.24,199.58,21.04
中彰投,2016,16,559,290999,1.92,17.48,96.18,113.34,205.93,330.7,177.66,19.3
中彰投,2016,17,499,285751,1.75,15.55,80.35,96.22,183.09,298.28,159.93,20.71
中彰投,2016,18,466,278827,1.67,17.21,88.9,105.59,234.73,380.33,219.75,20.75
中彰投,2016,19,460,272042,1.69,17.56,78.17,95.19,192.75,264.22,135.96,21.31
中彰投,2016,20,439,285374,1.54,13.92,82.66,96.3,267.84,315.61,161.54,20.9
中彰投,2016,21,441,266984,1.65,16.68,94.19,110.68,197.36,318.04,177.45,22.09
中彰投,2016,22,389,273646,1.42,13.9,48.77,62.56,151.36,204.3,83.12,16.2
中彰投,2016,23,379,264083,1.44,14.71,56.71,71.01,184.72,190.53,89.34,18.04
中彰投,2016,24,334,264253,1.26,15.11,50.55,65.43,137.3,153.1,58.91,14.21
中彰投,2016,25,335,258184,1.3,15.97,53.8,69.66,155.07,199.88,83.48,18.86
中彰投,2016,26,337,261347,1.29,15.68,55.18,71.4,158.32,205.37,93.45,18.72
中彰投,2016,27,308,263802,1.17,14.02,58.6,72.83,184.7,223.33,105.08,19.22
中彰投,2016,28,333,266016,1.25,14.82,42.06,56.31,143.56,140.59,57.19,14.65
中彰投,2016,29,280,242652,1.15,15.76,48.75,64.99,131.37,199.81,93.31,16.91
中彰投,2016,30,303,261031,1.16,13.98,55.06,68.97,182.4,241.71,132.41,20.06
中彰投,2016,31,324,265641,1.22,14.06,62.6,75.81,227.08,253.11,130.82,19.3
中彰投,2016,32,345,263649,1.31,13.58,61.95,74.95,207.97,238.96,122.04,19.6
中彰投,2016,33,307,257425,1.19,15.84,61.91,77.57,173.6,197.13,90.16,17.86
中彰投,2016,34,311,251619,1.24,11.63,58.66,69.71,233.14,312.97,164.67,20.14
中彰投,2016,35,328,269086,1.22,9.33,73.84,83.75,321.39,398.22,224.08,21.29
中彰投,2016,36,317,254126,1.25,15.03,61.39,76.33,164.19,170.26,78.87,15.07
中彰投,2016,37,350,262897,1.33,24.54,66.16,90.12,148.36,203.27,88.53,17.42
中彰投,2016,38,292,254044,1.15,15.45,75.18,91.42,224.73,290.16,128.85,18.23
中彰投,2016,39,338,255736,1.32,17.84,73.27,91.31,184.35,293.52,131.97,18.36
中彰投,2016,40,283,244148,1.16,19.68,86.18,105.9,199.77,349.96,191.01,21.31
中彰投,2016,41,333,251727,1.32,21.5,73.9,94.84,163.37,212.64,97.46,15.99
中彰投,2016,42,331,252889,1.31,14.96,97.77,113.05,262.04,533.51,300.12,25.46
中彰投,2016,43,354,262711,1.35,20.75,94.35,114.49,178.29,361.36,188.37,24.31
中彰投,2016,44,353,268656,1.31,13.41,85.82,98.52,236.28,343.92,158.04,18.17
中彰投,2016,45,364,260742,1.4,17.06,108.27,125.46,223.22,360.46,187.99,21.67
中彰投,2016,46,318,244882,1.3,23.66,128.87,152.11,220.42,517.58,281.32,23.83
中彰投,2016,47,352,266261,1.32,31.84,116.04,147.21,154.59,322.08,169.47,20.79
中彰投,2016,48,303,236618,1.28,21.82,109.63,131.49,164.77,304.14,135.47,17.25
中彰投,2016,49,339,241667,1.4,19.76,114.45,134.93,183.72,387.05,190.17,20.96
中彰投,2016,50,377,268978,1.4,29.95,115.4,145.32,188.94,380.85,184.75,19.32
中彰投,2016,51,377,268470,1.4,28.1,130.3,158.25,183.84,441.17,241.29,21.82
中彰投,2016,52,375,275204,1.36,27.92,115.79,143.54,179.69,407.4,196.29,18.3
中彰投,2017,1,439,277304,1.58,32.78,115.75,148.95,171.63,512.3,280.92,19.53
中彰投,2017,2,393,265172,1.48,25.49,118.31,143.58,175.94,365.68,198.47,19.49
中彰投,2017,3,461,276878,1.66,24.73,100.35,124.26,177.28,302.43,146.54,17.27
中彰投,2017,4,410,277813,1.48,18.51,104.06,122.52,213.29,356.25,182.69,18.42
中彰投,2017,5,361,255169,1.41,15.07,81.86,96.18,205.47,321.39,146.77,16.49
中彰投,2017,6,450,264242,1.7,15.84,97.31,112.86,222.85,445.61,232.8,18.86
中彰投,2017,7,459,272591,1.68,26.62,123.13,149.75,230.94,436.35,226.89,21.5
中彰投,2017,8,444,276473,1.61,26.83,113.51,140.31,187.07,380.91,203.92,17.19
中彰投,2017,9,422,268709,1.57,16.66,115.65,132.62,241.12,413.71,217.94,20.33
中彰投,2017,10,483,280591,1.72,23.35,124.49,148.07,224.69,405.27,244.81,19.68
中彰投,2017,11,415,277580,1.5,17.73,113.32,131.05,226.56,398.46,226.96,19.13
中彰投,2017,12,428,269228,1.59,16.16,107.79,124.16,252.02,381.48,204.53,19.28
中彰投,2017,13,489,294144,1.66,18.32,110.99,128.93,286.33,475.16,245.06,20.64
中彰投,2017,14,460,286306,1.61,13.35,98.52,111.69,304.84,433.87,243.66,21.15
中彰投,2017,15,486,283004,1.72,23.16,107.12,130.23,183.55,317.54,169.32,18.97
中彰投,2017,16,385,262526,1.47,15.4,72.54,87.16,195.25,290.73,158.28,17.96
中彰投,2017,17,422,282819,1.49,14.61,106.7,121.07,276.1,371.88,188.73,21.27
中彰投,2017,18,420,277967,1.51,18.13,101.19,118.92,240.33,371.82,204.17,21.48
