region,year,week,case_c,pop_total,case_per_capita(‰),NO,NO2,NOx,O3,PM10,PM25,SO2
中彰投,2016,1,751,295168,2.54,50.99,120.87,172.0,131.39,365.03,198.22,19.85
中彰投,2016,2,3108,315811,9.84,21.4,106.74,128.1,175.08,298.23,162.66,18.4
中彰投,2016,3,3119,315098,9.9,31.42,126.92,158.57,148.15,307.85,179.76,19.07
中彰投,2016,4,3217,315811,10.19,35.8,109.8,145.09,165.63,276.77,136.08,18.25
中彰投,2016,5,3731,315811,11.81,30.72,107.68,138.13,157.54,209.2,106.38,16.35
中彰投,2016,6,4905,315811,15.53,19.26,94.58,113.15,270.51,435.61,257.3,21.27
中彰投,2016,7,2753,314979,8.74,25.84,103.13,128.6,146.33,278.16,157.54,18.19
中彰投,2016,8,5587,315811,17.69,24.23,122.84,147.31,190.15,442.57,241.52,18.51
中彰投,2016,9,5280,315183,16.75,26.6,129.33,156.07,218.7,449.51,231.29,21.8
中彰投,2016,10,4890,315811,15.48,27.98,122.79,150.75,177.2,390.26,235.0,22.72
中彰投,2016,11,4312,315183,13.68,42.04,145.85,187.41,143.67,276.42,165.17,18.44
中彰投,2016,12,3979,315183,12.62,34.83,129.02,163.83,159.74,392.15,227.65,18.23
中彰投,2016,13,3750,315183,11.9,16.54,119.73,136.27,309.01,441.31,258.33,22.95
中彰投,2016,14,4249,315811,13.45,18.53,97.01,115.56,213.58,506.85,309.7,22.09
中彰投,2016,15,3447,315183,10.94,18.44,101.06,119.31,194.18,334.24,199.58,21.04
中彰投,2016,16,3420,315183,10.85,17.48,96.18,113.34,205.93,330.7,177.66,19.3
中彰投,2016,17,3084,315811,9.77,15.55,80.35,96.22,183.09,298.28,159.93,20.71
中彰投,2016,18,3112,315811,9.85,17.21,88.9,105.59,234.73,380.33,219.75,20.75
中彰投,2016,19,2888,314944,9.17,17.56,78.17,95.19,192.75,264.22,135.96,21.31
中彰投,2016,20,2721,314295,8.66,13.92,82.66,96.3,267.84,315.61,161.54,20.9
中彰投,2016,21,2689,315811,8.51,16.68,94.19,110.68,197.36,318.04,177.45,22.09
中彰投,2016,22,2415,314981,7.67,13.9,48.77,62.56,151.36,204.3,83.12,16.2
中彰投,2016,23,2189,315811,6.93,14.71,56.71,71.01,184.72,190.53,89.34,18.04
中彰投,2016,24,2137,311560,6.86,15.11,50.55,65.43,137.3,153.1,58.91,14.21
中彰投,2016,25,2106,315183,6.68,15.97,53.8,69.66,155.07,199.88,83.48,18.86
中彰投,2016,26,1987,315183,6.3,15.68,55.18,71.4,158.32,205.37,93.45,18.72
