region,year,week,case_c,pop_total,case_per_capita(‰),NO,NO2,NOx,O3,PM10,PM25,SO2
中彰投,2016,1,835,282418,2.96,50.99,120.87,172.0,131.39,365.03,198.22,19.85
中彰投,2016,2,2932,311622,9.41,21.4,106.74,128.1,175.08,298.23,162.66,18.4
中彰投,2016,3,3025,312231,9.69,31.42,126.92,158.57,148.15,307.85,179.76,19.07
中彰投,2016,4,3124,314149,9.94,35.8,109.8,145.09,165.63,276.77,136.08,18.25
中彰投,2016,5,3516,313527,11.21,30.72,107.68,138.13,157.54,209.2,106.38,16.35
中彰投,2016,6,4561,315811,14.44,19.26,94.58,113.15,270.51,435.61,257.3,21.27
中彰投,2016,7,2438,308489,7.9,25.84,103.13,128.6,146.33,278.16,157.54,18.19
中彰投,2016,8,4757,315811,15.06,24.23,122.84,147.31,190.15,442.57,241.52,18.51
中彰投,2016,9,4350,315811,13.77,26.6,129.33,156.07,218.7,449.51,231.29,21.8
中彰投,2016,10,4099,313986,13.05,27.98,122.79,150.75,177.2,390.26,235.0,22.72
中彰投,2016,11,3475,314149,11.06,42.04,145.85,187.41,143.67,276.42,165.17,18.44
中彰投,2016,12,3346,311989,10.72,34.83,129.02,163.83,159.74,392.15,227.65,18.23
中彰投,2016,13,3235,311936,10.37,16.54,119.73,136.27,309.01,441.31,258.33,22.95
中彰投,2016,14,3795,314979,12.05,18.53,97.01,115.56,213.58,506.85,309.7,22.09
中彰投,2016,15,2945,310038,9.5,18.44,101.06,119.31,194.18,334.24,199.58,21.04
中彰投,2016,16,2853,312033,9.14,17.48,96.18,113.34,205.93,330.7,177.66,19.3
中彰投,2016,17,2745,311824,8.8,15.55,80.35,96.22,183.09,298.28,159.93,20.71
中彰投,2016,18,2618,309805,8.45,17.21,88.9,105.59,234.73,380.33,219.75,20.75
中彰投,2016,19,2491,310520,8.02,17.56,78.17,95.19,192.75,264.22,135.96,21.31
中彰投,2016,20,2406,311825,7.72,13.92,82.66,96.3,267.84,315.61,161.54,20.9
中彰投,2016,21,2423,314979,7.69,16.68,94.19,110.68,197.36,318.04,177.45,22.09
中彰投,2016,22,2196,307364,7.14,13.9,48.77,62.56,151.36,204.3,83.12,16.2
中彰投,2016,23,1997,308836,6.47,14.71,56.71,71.01,184.72,190.53,89.34,18.04
中彰投,2016,24,1815,302229,6.01,15.11,50.55,65.43,137.3,153.1,58.91,14.21
中彰投,2016,25,1932,306901,6.3,15.97,53.8,69.66,155.07,199.88,83.48,18.86
中彰投,2016,26,1804,309011,5.84,15.68,55.18,71.4,158.32,205.37,93.45,18.72
中彰投,2016,27,1758,308315,5.7,14.02,58.6,72.83,184.7,223.33,105.08,19.22
中彰投,2016,28,1639,302510,5.42,14.82,42.06,56.31,143.56,140.59,57.19,14.65
中彰投,2016,29,1825,308441,5.92,15.76,48.75,64.99,131.37,199.81,93.31,16.91
中彰投,2016,30,1668,299707,5.57,13.98,55.06,68.97,182.4,241.71,132.41,20.06
中彰投,2016,31,1779,305415,5.82,14.06,62.6,75.81,227.08,253.11,130.82,19.3
中彰投,2016,32,1842,312395,5.9,13.58,61.95,74.95,207.97,238.96,122.04,19.6
中彰投,2016,33,1849,306347,6.04,15.84,61.91,77.57,173.6,197.13,90.16,17.86
中彰投,2016,34,2019,310943,6.49,11.63,58.66,69.71,233.14,312.97,164.67,20.14
中彰投,2016,35,2051,307878,6.66,9.33,73.84,83.75,321.39,398.22,224.08,21.29
中彰投,2016,36,2124,308197,6.89,15.03,61.39,76.33,164.19,170.26,78.87,15.07
中彰投,2016,37,1980,307364,6.44,24.54,66.16,90.12,148.36,203.27,88.53,17.42
中彰投,2016,38,1853,303499,6.11,15.45,75.18,91.42,224.73,290.16,128.85,18.23
中彰投,2016,39,2312,309623,7.47,17.84,73.27,91.31,184.35,293.52,131.97,18.36
中彰投,2016,40,1921,308151,6.23,19.68,86.18,105.9,199.77,349.96,191.01,21.31
中彰投,2016,41,1930,306038,6.31,21.5,73.9,94.84,163.37,212.64,97.46,15.99
中彰投,2016,42,2154,307010,7.02,14.96,97.77,113.05,262.04,533.51,300.12,25.46
中彰投,2016,43,2166,305405,7.09,20.75,94.35,114.49,178.29,361.36,188.37,24.31
中彰投,2016,44,2250,304560,7.39,13.41,85.82,98.52,236.28,343.92,158.04,18.17
中彰投,2016,45,2567,309768,8.29,17.06,108.27,125.46,223.22,360.46,187.99,21.67
中彰投,2016,46,2560,310140,8.25,23.66,128.87,152.11,220.42,517.58,281.32,23.83
中彰投,2016,47,2466,309401,7.97,31.84,116.04,147.21,154.59,322.08,169.47,20.79
中彰投,2016,48,2371,311357,7.62,21.82,109.63,131.49,164.77,304.14,135.47,17.25
中彰投,2016,49,2546,313114,8.13,19.76,114.45,134.93,183.72,387.05,190.17,20.96
中彰投,2016,50,2650,312613,8.48,29.95,115.4,145.32,188.94,380.85,184.75,19.32
中彰投,2016,51,2818,313159,9.0,28.1,130.3,158.25,183.84,441.17,241.29,21.82
中彰投,2016,52,2857,311899,9.16,27.92,115.79,143.54,179.69,407.4,196.29,18.3
中彰投,2017,1,2855,307398,9.29,32.78,115.75,148.95,171.63,512.3,280.92,19.53
中彰投,2017,2,2898,307038,9.44,25.49,118.31,143.58,175.94,365.68,198.47,19.49
中彰投,2017,3,2912,309914,9.4,24.73,100.35,124.26,177.28,302.43,146.54,17.27
中彰投,2017,4,3338,311467,10.72,18.51,104.06,122.52,213.29,356.25,182.69,18.42
中彰投,2017,5,2546,309567,8.22,15.07,81.86,96.18,205.47,321.39,146.77,16.49
中彰投,2017,6,3277,310234,10.56,15.84,97.31,112.86,222.85,445.61,232.8,18.86
中彰投,2017,7,3322,310200,10.71,26.62,123.13,149.75,230.94,436.35,226.89,21.5
中彰投,2017,8,2645,307933,8.59,26.83,113.51,140.31,187.07,380.91,203.92,17.19
中彰投,2017,9,2829,308881,9.16,16.66,115.65,132.62,241.12,413.71,217.94,20.33
中彰投,2017,10,2878,306311,9.4,23.35,124.49,148.07,224.69,405.27,244.81,19.68
中彰投,2017,11,2834,306555,9.24,17.73,113.32,131.05,226.56,398.46,226.96,19.13
中彰投,2017,12,2804,308625,9.09,16.16,107.79,124.16,252.02,381.48,204.53,19.28
中彰投,2017,13,2917,308902,9.44,18.32,110.99,128.93,286.33,475.16,245.06,20.64
中彰投,2017,14,3199,308306,10.38,13.35,98.52,111.69,304.84,433.87,243.66,21.15
中彰投,2017,15,2686,305246,8.8,23.16,107.12,130.23,183.55,317.54,169.32,18.97
中彰投,2017,16,2409,309082,7.79,15.4,72.54,87.16,195.25,290.73,158.28,17.96
中彰投,2017,17,2537,307178,8.26,14.61,106.7,121.07,276.1,371.88,188.73,21.27
中彰投,2017,18,2485,309290,8.03,18.13,101.19,118.92,240.33,371.82,204.17,21.48
中彰投,2017,19,2286,307725,7.43,15.26,83.43,98.23,215.64,361.46,164.19,22.07
中彰投,2017,20,2305,307816,7.49,13.98,88.97,101.86,248.77,240.35,119.75,18.59
中彰投,2017,21,2284,310245,7.36,14.04,83.62,97.56,221.84,262.06,129.35,19.72
中彰投,2017,22,1976,303546,6.51,13.22,64.28,77.57,197.09,207.76,101.58,17.27
中彰投,2017,23,2038,305043,6.68,17.27,64.89,81.78,164.56,211.91,101.44,18.59
中彰投,2017,24,2024,302981,6.68,16.07,54.34,70.1,121.14,155.74,53.95,14.31
中彰投,2017,25,2128,307648,6.92,19.22,52.52,72.01,107.45,164.4,67.61,14.42
中彰投,2017,26,2054,305406,6.73,13.85,54.49,67.57,157.65,210.86,95.19,17.96
中彰投,2017,27,2222,307342,7.23,15.43,55.94,70.48,152.89,153.16,61.57,15.78
中彰投,2017,28,2196,307015,7.15,12.7,56.61,69.37,167.52,195.25,85.09,18.46
中彰投,2017,29,2105,302833,6.95,12.66,63.52,74.8,209.81,246.61,119.88,19.24
中彰投,2017,30,2005,303439,6.61,9.83,61.89,71.91,211.19,269.31,152.74,22.57
中彰投,2017,31,1803,298961,6.03,12.45,48.08,59.84,161.29,181.31,79.91,15.61
中彰投,2017,32,1718,302208,5.68,12.01,42.52,53.28,127.89,203.54,90.48,14.86
中彰投,2017,33,1786,305568,5.84,15.93,57.53,73.46,146.2,190.26,98.54,19.41
中彰投,2017,34,1753,300293,5.84,14.96,69.06,84.0,192.52,259.84,134.59,20.1
中彰投,2017,35,1861,299094,6.22,13.43,69.85,82.16,201.87,296.56,157.88,20.25
中彰投,2017,36,1858,301494,6.16,11.53,58.98,70.96,180.05,233.22,118.58,18.61
中彰投,2017,37,1943,300409,6.47,16.31,73.88,89.6,215.26,286.08,141.19,20.75
中彰投,2017,38,2036,302301,6.74,8.74,91.94,101.1,311.67,411.09,237.81,27.73
中彰投,2017,39,1879,299951,6.26,13.87,73.1,86.66,199.71,282.58,151.69,21.48
中彰投,2017,40,1975,302253,6.53,12.57,83.22,94.96,240.37,376.07,193.15,20.64
中彰投,2017,41,2066,303682,6.8,14.96,84.46,99.4,210.25,363.1,173.18,22.3
中彰投,2017,42,2107,308722,6.82,14.99,69.43,84.48,199.33,214.49,86.24,14.57
中彰投,2017,43,2506,307740,8.14,9.81,84.65,94.6,326.44,354.9,174.01,15.51
中彰投,2017,44,2504,309492,8.09,13.79,85.36,98.84,256.9,330.63,135.89,15.76
中彰投,2017,45,2495,308326,8.09,15.09,99.55,114.64,208.45,389.15,179.59,17.5
中彰投,2017,46,2507,310401,8.08,23.2,105.4,128.31,164.29,340.78,161.84,19.39
中彰投,2017,47,2483,302888,8.2,16.49,97.14,113.19,169.95,250.32,111.14,16.03
中彰投,2017,48,2486,306615,8.11,18.84,96.09,114.85,193.99,342.41,163.05,17.06
中彰投,2017,49,2745,309990,8.86,21.59,99.66,121.07,183.01,302.53,154.5,15.84
中彰投,2017,50,2977,310555,9.59,30.66,112.54,143.48,164.58,324.75,158.57,17.63
中彰投,2017,51,3242,310717,10.43,20.29,100.79,121.16,203.08,333.21,168.9,17.75
中彰投,2017,52,3671,312851,11.73,21.65,119.82,141.19,203.99,502.76,279.41,21.4
中彰投,2018,1,3031,347983,8.71,33.49,121.45,154.99,140.82,367.1,193.23,18.19
中彰投,2018,2,3264,345991,9.43,24.0,95.69,119.88,183.53,235.32,116.99,15.93
中彰投,2018,3,3489,346256,10.08,29.78,128.24,157.65,164.19,403.07,217.36,18.97
中彰投,2018,4,3477,346935,10.02,19.09,105.5,124.16,181.75,292.95,132.66,16.37
中彰投,2018,5,3219,345391,9.32,18.04,93.83,111.75,172.09,196.82,121.31,15.03
中彰投,2018,6,3449,344252,10.02,37.77,116.3,154.36,164.19,296.54,165.25,16.18
中彰投,2018,7,3197,345213,9.26,16.35,102.8,119.17,229.91,503.92,226.26,18.67
中彰投,2018,8,3406,344981,9.87,19.13,110.3,129.52,180.51,355.43,199.65,17.25
中彰投,2018,9,3532,345972,10.21,29.97,117.89,147.86,181.29,486.73,260.07,19.16
中彰投,2018,10,3194,347748,9.18,14.96,89.13,104.43,211.34,292.37,137.67,15.87
中彰投,2018,11,3422,344513,9.93,18.9,121.66,140.86,237.56,430.29,232.15,20.62
中彰投,2018,12,3469,345897,10.03,14.38,97.96,112.36,274.89,383.18,182.86,16.33
中彰投,2018,13,3432,344820,9.95,12.43,94.04,106.32,277.49,476.63,252.21,18.36
中彰投,2018,14,2775,341246,8.13,13.25,79.01,91.25,240.68,469.29,204.63,17.98
中彰投,2018,15,3280,344990,9.51,13.56,78.01,91.29,218.01,310.16,144.4,18.69
中彰投,2018,16,2739,342886,7.99,11.42,100.31,112.19,284.44,438.53,224.08,22.43
中彰投,2018,17,2514,340467,7.38,12.18,98.59,109.86,265.92,401.66,217.84,20.9
中彰投,2018,18,2452,337983,7.25,12.05,78.22,89.95,237.69,350.78,175.25,20.31
中彰投,2018,19,2382,341099,6.98,10.84,83.54,94.58,221.53,296.39,134.15,18.93
中彰投,2018,20,2094,340515,6.15,15.51,60.17,76.08,142.14,215.99,104.69,18.46
中彰投,2018,21,2056,339126,6.06,13.27,73.0,84.96,201.99,274.55,142.51,22.36
中彰投,2018,22,1890,329689,5.73,9.83,67.02,76.96,244.69,261.33,124.74,19.64
中彰投,2018,23,1820,340068,5.35,10.19,69.56,79.83,228.67,265.69,125.43,22.17
中彰投,2018,24,1929,335360,5.75,8.49,74.57,83.58,291.46,263.84,126.08,20.62
中彰投,2018,25,1708,335658,5.09,14.23,50.43,64.87,117.01,153.62,54.91,15.01
中彰投,2018,26,1812,334381,5.42,15.38,56.73,71.38,145.64,202.31,87.0,18.76
中彰投,2018,27,1762,338004,5.21,14.36,51.85,67.07,120.26,151.0,59.37,15.15
中彰投,2018,28,1895,333926,5.67,13.16,57.91,70.86,182.4,252.5,124.49,21.54
