region,year,week,case_c,pop_total,case_per_capita(‰),NO,NO2,NOx,O3,PM10,PM25,SO2
中彰投,2016,1,39,95914,0.41,50.99,120.87,172.0,131.39,365.03,198.22,19.85
中彰投,2016,2,541,293038,1.85,21.4,106.74,128.1,175.08,298.23,162.66,18.4
中彰投,2016,3,553,287546,1.92,31.42,126.92,158.57,148.15,307.85,179.76,19.07
中彰投,2016,4,514,291026,1.77,35.8,109.8,145.09,165.63,276.77,136.08,18.25
中彰投,2016,5,566,295215,1.92,30.72,107.68,138.13,157.54,209.2,106.38,16.35
中彰投,2016,6,786,298017,2.64,19.26,94.58,113.15,270.51,435.61,257.3,21.27
中彰投,2016,7,237,227389,1.04,25.84,103.13,128.6,146.33,278.16,157.54,18.19
中彰投,2016,8,761,303635,2.51,24.23,122.84,147.31,190.15,442.57,241.52,18.51
中彰投,2016,9,685,290484,2.36,26.6,129.33,156.07,218.7,449.51,231.29,21.8
中彰投,2016,10,754,306701,2.46,27.98,122.79,150.75,177.2,390.26,235.0,22.72
中彰投,2016,11,633,290959,2.18,42.04,145.85,187.41,143.67,276.42,165.17,18.44
中彰投,2016,12,668,300406,2.22,34.83,129.02,163.83,159.74,392.15,227.65,18.23
中彰投,2016,13,654,281074,2.33,16.54,119.73,136.27,309.01,441.31,258.33,22.95
中彰投,2016,14,692,296002,2.34,18.53,97.01,115.56,213.58,506.85,309.7,22.09
中彰投,2016,15,547,281913,1.94,18.44,101.06,119.31,194.18,334.24,199.58,21.04
中彰投,2016,16,631,287123,2.2,17.48,96.18,113.34,205.93,330.7,177.66,19.3
中彰投,2016,17,585,285679,2.05,15.55,80.35,96.22,183.09,298.28,159.93,20.71
中彰投,2016,18,609,288026,2.11,17.21,88.9,105.59,234.73,380.33,219.75,20.75
中彰投,2016,19,524,281970,1.86,17.56,78.17,95.19,192.75,264.22,135.96,21.31
中彰投,2016,20,541,279519,1.94,13.92,82.66,96.3,267.84,315.61,161.54,20.9
中彰投,2016,21,590,296297,1.99,16.68,94.19,110.68,197.36,318.04,177.45,22.09
中彰投,2016,22,510,287563,1.77,13.9,48.77,62.56,151.36,204.3,83.12,16.2
中彰投,2016,23,490,276375,1.77,14.71,56.71,71.01,184.72,190.53,89.34,18.04
中彰投,2016,24,422,279594,1.51,15.11,50.55,65.43,137.3,153.1,58.91,14.21
中彰投,2016,25,501,271924,1.84,15.97,53.8,69.66,155.07,199.88,83.48,18.86
中彰投,2016,26,468,265799,1.76,15.68,55.18,71.4,158.32,205.37,93.45,18.72
中彰投,2016,27,467,278321,1.68,14.02,58.6,72.83,184.7,223.33,105.08,19.22
中彰投,2016,28,405,268585,1.51,14.82,42.06,56.31,143.56,140.59,57.19,14.65
中彰投,2016,29,457,264330,1.73,15.76,48.75,64.99,131.37,199.81,93.31,16.91
中彰投,2016,30,427,273285,1.56,13.98,55.06,68.97,182.4,241.71,132.41,20.06
中彰投,2016,31,389,258732,1.5,14.06,62.6,75.81,227.08,253.11,130.82,19.3
中彰投,2016,32,432,271229,1.59,13.58,61.95,74.95,207.97,238.96,122.04,19.6
中彰投,2016,33,423,272060,1.55,15.84,61.91,77.57,173.6,197.13,90.16,17.86
中彰投,2016,34,445,281713,1.58,11.63,58.66,69.71,233.14,312.97,164.67,20.14
中彰投,2016,35,440,274263,1.6,9.33,73.84,83.75,321.39,398.22,224.08,21.29
中彰投,2016,36,434,285713,1.52,15.03,61.39,76.33,164.19,170.26,78.87,15.07
中彰投,2016,37,416,272264,1.53,24.54,66.16,90.12,148.36,203.27,88.53,17.42
中彰投,2016,38,458,279661,1.64,15.45,75.18,91.42,224.73,290.16,128.85,18.23
中彰投,2016,39,534,284173,1.88,17.84,73.27,91.31,184.35,293.52,131.97,18.36
中彰投,2016,40,432,280820,1.54,19.68,86.18,105.9,199.77,349.96,191.01,21.31
中彰投,2016,41,470,270266,1.74,21.5,73.9,94.84,163.37,212.64,97.46,15.99
中彰投,2016,42,446,275256,1.62,14.96,97.77,113.05,262.04,533.51,300.12,25.46
中彰投,2016,43,518,287586,1.8,20.75,94.35,114.49,178.29,361.36,188.37,24.31
中彰投,2016,44,475,273786,1.73,13.41,85.82,98.52,236.28,343.92,158.04,18.17
中彰投,2016,45,465,279565,1.66,17.06,108.27,125.46,223.22,360.46,187.99,21.67
中彰投,2016,46,488,279915,1.74,23.66,128.87,152.11,220.42,517.58,281.32,23.83
中彰投,2016,47,501,277409,1.81,31.84,116.04,147.21,154.59,322.08,169.47,20.79
中彰投,2016,48,478,288528,1.66,21.82,109.63,131.49,164.77,304.14,135.47,17.25
中彰投,2016,49,496,295063,1.68,19.76,114.45,134.93,183.72,387.05,190.17,20.96
中彰投,2016,50,509,286489,1.78,29.95,115.4,145.32,188.94,380.85,184.75,19.32
中彰投,2016,51,537,283594,1.89,28.1,130.3,158.25,183.84,441.17,241.29,21.82
中彰投,2016,52,503,287063,1.75,27.92,115.79,143.54,179.69,407.4,196.29,18.3
中彰投,2017,1,545,279231,1.95,32.78,115.75,148.95,171.63,512.3,280.92,19.53
中彰投,2017,2,560,289372,1.94,25.49,118.31,143.58,175.94,365.68,198.47,19.49
中彰投,2017,3,598,297309,2.01,24.73,100.35,124.26,177.28,302.43,146.54,17.27
中彰投,2017,4,527,281158,1.87,18.51,104.06,122.52,213.29,356.25,182.69,18.42
中彰投,2017,5,322,259558,1.24,15.07,81.86,96.18,205.47,321.39,146.77,16.49
中彰投,2017,6,594,295099,2.01,15.84,97.31,112.86,222.85,445.61,232.8,18.86
中彰投,2017,7,567,289381,1.96,26.62,123.13,149.75,230.94,436.35,226.89,21.5
中彰投,2017,8,597,294934,2.02,26.83,113.51,140.31,187.07,380.91,203.92,17.19
中彰投,2017,9,529,286477,1.85,16.66,115.65,132.62,241.12,413.71,217.94,20.33
中彰投,2017,10,532,290638,1.83,23.35,124.49,148.07,224.69,405.27,244.81,19.68
中彰投,2017,11,538,290488,1.85,17.73,113.32,131.05,226.56,398.46,226.96,19.13
中彰投,2017,12,560,289320,1.94,16.16,107.79,124.16,252.02,381.48,204.53,19.28
中彰投,2017,13,498,284371,1.75,18.32,110.99,128.93,286.33,475.16,245.06,20.64
中彰投,2017,14,528,293081,1.8,13.35,98.52,111.69,304.84,433.87,243.66,21.15
中彰投,2017,15,559,279263,2.0,23.16,107.12,130.23,183.55,317.54,169.32,18.97
中彰投,2017,16,524,280782,1.87,15.4,72.54,87.16,195.25,290.73,158.28,17.96
中彰投,2017,17,465,267729,1.74,14.61,106.7,121.07,276.1,371.88,188.73,21.27
中彰投,2017,18,476,275608,1.73,18.13,101.19,118.92,240.33,371.82,204.17,21.48
中彰投,2017,19,517,289245,1.79,15.26,83.43,98.23,215.64,361.46,164.19,22.07
中彰投,2017,20,501,290110,1.73,13.98,88.97,101.86,248.77,240.35,119.75,18.59
中彰投,2017,21,467,281120,1.66,14.04,83.62,97.56,221.84,262.06,129.35,19.72
中彰投,2017,22,382,265533,1.44,13.22,64.28,77.57,197.09,207.76,101.58,17.27
中彰投,2017,23,478,279561,1.71,17.27,64.89,81.78,164.56,211.91,101.44,18.59
中彰投,2017,24,467,262732,1.78,16.07,54.34,70.1,121.14,155.74,53.95,14.31
中彰投,2017,25,498,278750,1.79,19.22,52.52,72.01,107.45,164.4,67.61,14.42
中彰投,2017,26,476,276988,1.72,13.85,54.49,67.57,157.65,210.86,95.19,17.96
中彰投,2017,27,516,286298,1.8,15.43,55.94,70.48,152.89,153.16,61.57,15.78
中彰投,2017,28,474,278074,1.7,12.7,56.61,69.37,167.52,195.25,85.09,18.46
中彰投,2017,29,460,279951,1.64,12.66,63.52,74.8,209.81,246.61,119.88,19.24
中彰投,2017,30,488,280179,1.74,9.83,61.89,71.91,211.19,269.31,152.74,22.57
中彰投,2017,31,441,270493,1.63,12.45,48.08,59.84,161.29,181.31,79.91,15.61
中彰投,2017,32,421,285129,1.48,12.01,42.52,53.28,127.89,203.54,90.48,14.86
中彰投,2017,33,412,274731,1.5,15.93,57.53,73.46,146.2,190.26,98.54,19.41
中彰投,2017,34,413,265934,1.55,14.96,69.06,84.0,192.52,259.84,134.59,20.1
中彰投,2017,35,449,269194,1.67,13.43,69.85,82.16,201.87,296.56,157.88,20.25
中彰投,2017,36,443,278323,1.59,11.53,58.98,70.96,180.05,233.22,118.58,18.61
中彰投,2017,37,452,277274,1.63,16.31,73.88,89.6,215.26,286.08,141.19,20.75
中彰投,2017,38,440,269770,1.63,8.74,91.94,101.1,311.67,411.09,237.81,27.73
中彰投,2017,39,417,269679,1.55,13.87,73.1,86.66,199.71,282.58,151.69,21.48
中彰投,2017,40,413,263650,1.57,12.57,83.22,94.96,240.37,376.07,193.15,20.64
中彰投,2017,41,371,260726,1.42,14.96,84.46,99.4,210.25,363.1,173.18,22.3
中彰投,2017,42,425,280662,1.51,14.99,69.43,84.48,199.33,214.49,86.24,14.57
中彰投,2017,43,475,280038,1.7,9.81,84.65,94.6,326.44,354.9,174.01,15.51
中彰投,2017,44,459,285028,1.61,13.79,85.36,98.84,256.9,330.63,135.89,15.76
中彰投,2017,45,499,289672,1.72,15.09,99.55,114.64,208.45,389.15,179.59,17.5
