日期,地區,統計資料,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2020-01-01,桃園,標準差,2.378795696631801,0.12232388797654133,0.21703772734520047,0.11668023630529391,6.339593209427198,9.379950478242936,14.034443916896338,11.072534615054527,9.078789849383504,6.414750910143587,0.0,8.830275399149684,2.3845285525838276,0.2220245520137968,54.821994677252896,56.46918515109699,0.6834799823022653,0.6114519392410122
2020-01-08,桃園,標準差,1.4952569728357612,0.09093054662736945,0.14151362345871382,0.09287025688032292,2.792126408127447,7.311912767201541,9.364182743848819,9.119111515941725,8.149658984675927,6.1212723950010215,0.052106196894239856,5.668412256313216,1.6761290018304869,0.1674619079088456,65.34659117163089,68.46502321619428,0.8217016688780296,0.6873364579146694
2020-01-15,桃園,標準差,1.3931321586195364,0.03289325928919839,0.10943530985100766,0.04425732773586526,1.3881308854699488,5.07155729988947,5.809090571910311,5.434734832307151,7.9776713018015775,5.004087357177795,0.01191510937468997,4.586458223601652,0.9309395438312441,0.061532374749258816,44.09383799128516,62.56962294101379,0.6876871690894738,0.5509779207749651
2020-01-22,桃園,標準差,1.3621039382230244,0.08040645370699571,0.17306781172527905,0.09574755251688484,3.2642864969765837,5.907519433637984,7.838476475099587,7.461858793207655,10.577903559751638,7.914649083542858,0.3157964288959863,4.2420664819358125,1.3000183730417927,0.16583917542272264,109.37815459322194,108.51282831140584,0.5808918057457909,0.4992103542029887
2020-01-29,桃園,標準差,1.7284622940455772,0.09256324311242725,0.15099094820792416,0.07253258611744322,1.5659561773427928,7.478857193181168,8.31483361907457,9.591135514637235,7.692465682675507,6.231442309853038,0.0575371580838664,6.2828001886284754,1.3503008615355427,0.15468998282208743,65.71461626527967,76.06817791828384,0.8125667175890678,0.7030386171856364
2020-02-05,桃園,標準差,1.3424964541321138,0.04735075155579403,0.1350289378892522,0.059806900063768355,2.7606703337161207,5.898245176062043,7.899719119503566,5.846128042902216,8.931463946795276,4.927174720065092,0.22394183011498736,5.503115775331942,0.9065526723634186,0.09483150867247285,57.02282684936929,56.91211963695627,0.650152588326639,0.5587259749810247
2020-02-12,桃園,標準差,2.5860103917181183,0.13302310587840657,0.19151813900739878,0.11434104529954141,5.470560196948221,7.29623345412656,11.109110679709636,10.963395242736604,10.227858551037096,6.242324627629968,0.3322282451530132,8.997751620065172,1.5674970486257536,0.23851179373160267,83.86039484982146,85.02332030976312,0.7812332763875313,0.6741767723711999
2020-02-19,桃園,標準差,2.5308003419028977,0.11665523191875178,0.20594873923899323,0.11085187827681794,6.241427799509886,9.175272514402579,13.692418942645272,12.207727343730527,16.296770091421177,10.307584252914543,0.005832118435198042,8.880775418465081,2.060464859125258,0.21599822580888992,79.73761997839563,78.46200336323624,0.9213029646303176,0.818490689016209
2020-02-26,桃園,標準差,1.8429753405765439,0.1446667560203301,0.18900555927251952,0.12177570680567819,3.955171024933172,8.110291304006841,11.105809332506837,9.67315737051126,11.508933383768968,7.114866768201266,0.005832118435198042,6.151177470697506,1.9775337899837944,0.25750938724016476,90.629677875501,87.69020426471802,0.7284236601696052,0.6481817561158367
2020-03-04,桃園,標準差,2.1046570320565943,0.10766630401261447,0.2462402550492211,0.11256229525455563,5.434640038769862,7.931422391338835,12.142393330735176,9.046552413727937,10.436128474583807,6.370500971917708,1.131387924822557,6.372422319743185,1.4899788913981815,0.20944740086210153,86.43319618658136,83.18383797187593,0.7826943016083273,0.7011685098999976
